"strain,-","stress,MPa","stress,Pa"
0.0,524.9164323097137,524916432.3097137
0.0005,600.8447951089552,600844795.1089551
0.001,662.0689578676333,662068957.8676333
0.0015,711.4579072647795,711457907.2647794
0.002,751.3207365415617,751320736.5415617
0.0025,783.5159125871728,783515912.5871729
0.003,809.5392187498855,809539218.7498856
0.0035,830.5945349638079,830594534.9638078
0.004,847.6508046165231,847650804.6165231
0.0045,861.4878839175451,861487883.9175451
0.005,872.7334434299302,872733443.4299302
0.0055,881.8926680016389,881892668.0016389
0.006,889.3721605421907,889372160.5421907
0.0065,895.4991808070072,895499180.8070072
0.007,900.5371295970987,900537129.5970987
0.0075,904.6980111089273,904698011.1089272
0.008,908.1524631706405,908152463.1706406
0.0085,911.0378300094752,911037830.0094752
0.009,913.4646595646744,913464659.5646744
0.0095,915.5219328073385,915521932.8073386
0.01,917.2812725252504,917281272.5252504
0.0105,918.8003307374502,918800330.7374501
0.011,920.1255150348624,920125515.0348624
0.0115,921.2941828602642,921294182.8602642
0.012,922.3364075629949,922336407.5629948
0.0125,923.276399799563,923276399.799563
0.013,924.133651541785,924133651.541785
0.0135,924.9238568274852,924923856.8274852
0.014,925.6596528239465,925659652.8239466
0.0145,926.3512162712567,926351216.2712567
0.015,927.00674352909,927006743.52909
0.0155,927.6328369424407,927632836.9424407
0.016,928.2348158087208,928234815.8087208
0.0165,928.8169666607002,928816966.6607002
0.017,929.3827447081286,929382744.7081286
0.0175,929.9349359696652,929934935.9696652
0.018,930.4757877665853,930475787.7665854
0.0185,931.0071137525855,931007113.7525855
0.019,931.5303784490557,931530378.4490557
0.0195,932.0467652853775,932046765.2853775
0.02,932.5572313632731,932557231.3632731
0.0205,933.0625515360089,933062551.5360088
0.021,933.5633538876574,933563353.8876574
0.0215,934.0601482906721,934060148.2906722
0.022,934.5533493925157,934553349.3925157
0.0225,935.0432951184756,935043295.1184756
0.023,935.5302615656432,935530261.5656432
0.0235,936.0144749922745,936014474.9922745
0.024,936.4961214693269,936496121.4693269
0.0245,936.9753546503448,936975354.6503448
0.025,937.4523020268541,937452302.0268542
0.0255,937.9270699647677,937927069.9647677
0.026,938.3997477596378,938399747.7596377
0.0265,938.8704109021818,938870410.9021817
0.027,939.3391237081454,939339123.7081454
0.0275,939.8059414365104,939805941.4365103
0.028,940.2709119958457,940270911.9958457
0.0285,940.7340773191363,940734077.3191363
0.029,941.1954744717392,941195474.4717392
0.0295,941.6551365445068,941655136.5445068
0.03,942.1130933739607,942113093.3739607
0.0305,942.5693721232277,942569372.1232277
0.031,943.023997750872,943023997.750872
0.0315,943.4769933894621,943476993.3894621
0.032,943.9283806514549,943928380.6514548
0.0325,944.3781798765431,944378179.876543
0.033,944.8264103318577,944826410.3318577
0.0335,945.2730903741926,945273090.3741926
0.034,945.7182375816321,945718237.5816321
0.0345,946.1618688605217,946161868.8605218
0.035,946.6040005325635,946604000.5325636
0.0355,947.0446484058896,947044648.4058896
0.036,947.4838278332087,947483827.8332087
0.0365,947.9215537595267,947921553.7595266
0.037,948.3578407614466,948357840.7614466
0.0375,948.7927030796676,948792703.0796676
0.038,949.2261546459889,949226154.645989
0.0385,949.6582091058629,949658209.1058629
0.039,950.0888798373479,950088879.8373479
0.0395,950.5181799671418,950518179.9671417
0.04,950.9461223842397,950946122.3842398
0.0405,951.372719751668,951372719.751668
0.041,951.7979845166413,951797984.5166414
0.0415,952.221928919439,952221928.9194391
0.042,952.6445650012282,952644565.0012282
0.0425,953.0659046110213,953065904.6110213
0.043,953.4859594119231,953485959.411923
0.0435,953.9047408867852,953904740.8867853
0.044,954.3222603433708,954322260.3433708
0.0445,954.7385289191072,954738528.9191072
0.045,955.153557585493,955153557.585493
0.0455,955.5673571522118,955567357.1522118
0.046,955.9799382709963,955979938.2709963
0.0465,956.3913114392765,956391311.4392765
0.047,956.8014870036425,956801487.0036424
0.0475,957.2104751631423,957210475.1631423
0.048,957.6182859724386,957618285.9724386
0.0485,958.0249293448343,958024929.3448343
0.049,958.4304150551864,958430415.0551864
0.0495,958.834752742713,958834752.742713
0.05,959.2379519137085,959237951.9137084
0.0505,959.6400219441684,959640021.9441684
0.051,960.0409720823363,960040972.0823363
0.0515,960.4408114511746,960440811.4511746
0.052,960.8395490507636,960839549.0507636
0.0525,961.237193760637,961237193.7606369
0.053,961.6337543420525,961633754.3420525
0.0535,962.0292394402031,962029239.4402031
0.054,962.4236575863733,962423657.5863733
0.0545,962.8170172000381,962817017.2000381
0.055,963.209326590913,963209326.5909129
0.0555,963.6005939609511,963600593.9609511
0.056,963.9908274062948,963990827.4062948
0.0565,964.3800349191788,964380034.9191788
0.057,964.7682243897898,964768224.3897898
0.0575,965.155403608081,965155403.608081
0.058,965.5415802655472,965541580.2655472
0.0585,965.9267619569566,965926761.9569566
0.059,966.3109561820452,966310956.1820452
0.0595,966.694170347171,966694170.3471711
0.06,967.0764117669336,967076411.7669336
0.0605,967.4576876657547,967457687.6657548
0.061,967.8380051794262,967838005.1794262
0.0615,968.2173713566226,968217371.3566226
0.062,968.5957931603812,968595793.1603812
0.0625,968.9732774695482,968973277.4695482
0.063,969.3498310801974,969349831.0801975
0.0635,969.7254607070133,969725460.7070134
0.064,970.1001729846489,970100172.984649
0.0645,970.4739744690518,970473974.4690517
0.065,970.8468716387631,970846871.6387631
0.0655,971.218870896189,971218870.896189
0.066,971.5899785688457,971589978.5688457
0.0665,971.960200910578,971960200.910578
0.067,972.3295441027522,972329544.1027522
0.0675,972.698014255425,972698014.2554251
0.068,973.0656174084884,973065617.4084884
0.0685,973.4323595327892,973432359.5327892
0.069,973.7982465312297,973798246.5312296
0.0695,974.1632842398403,974163284.2398403
0.07,974.5274784288363,974527478.4288362
0.0705,974.8908348036482,974890834.8036482
0.071,975.2533590059359,975253359.0059359
0.0715,975.6150566145786,975615056.6145786
0.072,975.9759331466482,975975933.1466483
0.0725,976.3359940583614,976335994.0583614
0.073,976.6952447460138,976695244.7460139
0.0735,977.0536905468956,977053690.5468956
0.074,977.41133674019,977411336.74019
0.0745,977.7681885478523,977768188.5478523
0.075,978.124251135474,978124251.135474
0.0755,978.4795296131293,978479529.6131294
0.076,978.8340290362056,978834029.0362056
0.0765,979.1877544062176,979187754.4062176
0.077,979.5407106716058,979540710.6716058
0.0775,979.8929027285218,979892902.7285218
0.078,980.2443354215956,980244335.4215956
0.0785,980.595013544691,980595013.5446911
0.079,980.944941841646,980944941.8416461
0.0795,981.2941250069993,981294125.0069993
0.08,981.6425676867027,981642567.6867027
0.0805,981.9902744788219,981990274.4788219
0.081,982.3372499342233,982337249.9342233
0.0815,982.6834985572478,982683498.5572479
0.082,983.0290248063734,983029024.8063734
0.0825,983.3738330948648,983373833.0948648
0.083,983.7179277914122,983717927.7914122
0.0835,984.0613132207574,984061313.2207574
0.084,984.4039936643094,984403993.6643094
0.0845,984.7459733607487,984745973.3607488
0.085,985.0872565066214,985087256.5066215
0.0855,985.4278472569215,985427847.2569215
0.086,985.767749725664,985767749.725664
0.0865,986.1069679864477,986106967.9864477
0.087,986.4455060730076,986445506.0730076
0.0875,986.7833679797582,986783367.9797581
0.088,987.1205576623271,987120557.662327
0.0885,987.4570790380791,987457079.0380791
0.089,987.7929359866317,987792935.9866318
0.0895,988.1281323503616,988128132.3503616
0.09,988.4626719349022,988462671.9349022
0.0905,988.7965585096325,988796558.5096325
0.091,989.1297958081586,989129795.8081586
0.0915,989.462387528786,989462387.5287861
0.092,989.7943373349844,989794337.3349844
0.0925,990.1256488558446,990125648.8558446
0.093,990.4563256865273,990456325.6865273
0.0935,990.7863713887056,990786371.3887056
0.094,991.1157894909985,991115789.4909985
0.0945,991.4445834893986,991444583.4893986
0.095,991.772756847692,991772756.847692
0.0955,992.1003129978712,992100312.9978713
0.096,992.4272553405419,992427255.340542
0.0965,992.7535872453223,992753587.2453222
0.097,993.0793120512365,993079312.0512365
0.0975,993.4044330671012,993404433.0671012
0.098,993.7289535719067,993728953.5719067
0.0985,994.0528768151903,994052876.8151903
0.099,994.376206017406,994376206.0174061
0.0995,994.6989443702861,994698944.3702861
0.1,995.0210950371979,995021095.037198
0.1005,995.3426611534953,995342661.1534953
0.101,995.6636458268641,995663645.8268641
0.1015,995.9840521376616,995984052.1376616
0.102,996.303883139252,996303883.139252
0.1025,996.6231418583351,996623141.8583351
0.103,996.9418312952712,996941831.2952712
0.1035,997.2599544243999,997259954.4243999
0.104,997.5775141943548,997577514.1943548
0.1045,997.8945135283726,997894513.5283726
0.105,998.210955324598,998210955.324598
0.1055,998.5268424563833,998526842.4563833
0.106,998.8421777725843,998842177.7725842
0.1065,999.1569640978507,999156964.0978507
0.107,999.4712042329132,999471204.2329133
0.1075,999.784900954865,999784900.954865
0.108,1000.0980570174398,1000098057.0174398
0.1085,1000.4106751512858,1000410675.1512858
0.109,1000.722758064235,1000722758.064235
0.1095,1001.0343084415686,1001034308.4415686
0.11,1001.3453289462793,1001345328.9462793
0.1105,1001.655822219328,1001655822.219328
0.111,1001.9657908798986,1001965790.8798985
0.1115,1002.2752375256475,1002275237.5256475
0.112,1002.5841647329506,1002584164.7329506
0.1125,1002.8925750571457,1002892575.0571457
0.113,1003.2004710327718,1003200471.0327718
0.1135,1003.5078551738055,1003507855.1738055
0.114,1003.8147299738929,1003814729.9738929
0.1145,1004.1210979065786,1004121097.9065785
0.115,1004.4269614255318,1004426961.4255317
0.1155,1004.7323229647683,1004732322.9647683
0.116,1005.0371849388703,1005037184.9388703
0.1165,1005.3415497432022,1005341549.7432022
0.117,1005.6454197541241,1005645419.754124
0.1175,1005.9487973292012,1005948797.3292012
0.118,1006.2516848074113,1006251684.8074113
0.1185,1006.5540845093491,1006554084.5093491
0.119,1006.8559987374274,1006855998.7374274
0.1195,1007.1574297760754,1007157429.7760755
0.12,1007.4583798919343,1007458379.8919343
0.1205,1007.758851334051,1007758851.334051
0.121,1008.0588463340671,1008058846.3340671
0.1215,1008.3583671064079,1008358367.1064079
0.122,1008.6574158484666,1008657415.8484666
0.1225,1008.9559947407874,1008955994.7407874
0.123,1009.2541059472451,1009254105.9472451
0.1235,1009.5517516152222,1009551751.6152222
0.124,1009.8489338757854,1009848933.8757854
0.1245,1010.1456548438573,1010145654.8438573
0.125,1010.4419166183866,1010441916.6183866
0.1255,1010.7377212825171,1010737721.2825171
0.126,1011.0330709037529,1011033070.9037529
0.1265,1011.3279675341223,1011327967.5341223
0.127,1011.6224132103389,1011622413.210339
0.1275,1011.9164099539612,1011916409.9539611
0.128,1012.2099597715494,1012209959.7715493
0.1285,1012.503064654821,1012503064.6548209
0.129,1012.7957265808031,1012795726.5808032
0.1295,1013.0879475119839,1013087947.5119839
0.13,1013.3797293964615,1013379729.3964615
0.1305,1013.6710741680906,1013671074.1680906
0.131,1013.9619837466287,1013961983.7466286
0.1315,1014.2524600378778,1014252460.0378778
0.132,1014.542504933827,1014542504.933827
0.1325,1014.8321203127913,1014832120.3127913
