
                  X             Displacement          Force      

                0.                 0.                 2.74511    
              100.009E-06         14.0006E-03         2.46255E+03
              200.E-06            28.003E-03          4.90212E+03
              300.004E-06         42.0048E-03         7.53714E+03
              400.008E-06         55.9993E-03        10.0787E+03 
              500.004E-06         69.9863E-03        12.6418E+03 
              600.006E-06         84.0036E-03        15.1617E+03 
              700.008E-06         98.0211E-03        17.6213E+03 
              800.001E-06        112.037E-03         20.014E+03  
              900.003E-06        126.061E-03         22.2805E+03 
                1.00001E-03      140.097E-03         24.3823E+03 
                1.1E-03          154.067E-03         26.4211E+03 
                1.2E-03          168.039E-03         27.8429E+03 
                1.30001E-03      182.01E-03          29.0861E+03 
                1.4E-03          195.98E-03          30.0637E+03 
                1.50001E-03      209.951E-03         30.9632E+03 
                1.6E-03          223.921E-03         31.678E+03  
                1.70001E-03      237.893E-03         32.2789E+03 
                1.8E-03          251.842E-03         32.7642E+03 
                1.90001E-03      265.735E-03         33.1309E+03 
                2.E-03           279.627E-03         33.4394E+03 
                2.10001E-03      293.52E-03          33.6344E+03 
                2.2E-03          307.413E-03         33.7574E+03 
                2.30001E-03      321.306E-03         33.8253E+03 
                2.4E-03          335.198E-03         33.8486E+03 
                2.50001E-03      349.091E-03         33.8433E+03 
                2.6E-03          362.983E-03         33.8184E+03 
                2.70001E-03      376.876E-03         33.7793E+03 
                2.8E-03          390.768E-03         33.7315E+03 
                2.9E-03          404.661E-03         33.677E+03  
                3.00001E-03      418.555E-03         33.6157E+03 
                3.1E-03          432.447E-03         33.5495E+03 
                3.20001E-03      446.34E-03          33.4794E+03 
                3.3E-03          460.232E-03         33.4058E+03 
                3.40001E-03      474.125E-03         33.3292E+03 
                3.5E-03          488.018E-03         33.2499E+03 
                3.60001E-03      501.95E-03          33.1682E+03 
                3.7E-03          515.999E-03         33.0842E+03 
                3.80001E-03      530.048E-03         32.9981E+03 
                3.9E-03          544.095E-03         32.9092E+03 
                4.E-03           558.474E-03         32.8151E+03 
                4.10001E-03      572.875E-03         32.7158E+03 
                4.2E-03          587.274E-03         32.6134E+03 
                4.30001E-03      601.674E-03         32.508E+03  
                4.4E-03          616.074E-03         32.3993E+03 
                4.5E-03          630.474E-03         32.2867E+03 
                4.60001E-03      644.875E-03         32.1675E+03 
                4.7E-03          659.274E-03         32.0416E+03 
                4.80001E-03      673.675E-03         31.9117E+03 
                4.9E-03          688.073E-03         31.7777E+03 
                5.00001E-03      702.475E-03         31.6395E+03 
                5.1E-03          716.874E-03         31.4972E+03 
                5.2E-03          731.274E-03         31.3505E+03 
                5.30001E-03      745.674E-03         31.1996E+03 
                5.4E-03          760.074E-03         31.044E+03  
                5.50001E-03      774.475E-03         30.8842E+03 
                5.6E-03          788.875E-03         30.7203E+03 
                5.7E-03          803.273E-03         30.5523E+03 
                5.80001E-03      817.674E-03         30.3807E+03 
                5.9E-03          832.074E-03         30.2052E+03 
                6.00001E-03      846.474E-03         30.026E+03  
                6.1E-03          860.874E-03         29.8434E+03 
                6.20001E-03      875.275E-03         29.6574E+03 
                6.3E-03          889.674E-03         29.4685E+03 
                6.4E-03          904.075E-03         29.2764E+03 
                6.50001E-03      918.475E-03         29.0814E+03 
                6.6E-03          932.874E-03         28.8834E+03 
                6.70001E-03      947.274E-03         28.6824E+03 
                6.8E-03          961.632E-03         26.5368E+03 
                6.9E-03          975.854E-03         27.9209E+03 
                7.00001E-03      990.077E-03         28.1564E+03 
                7.1E-03            1.0043            27.9257E+03 
                7.20001E-03        1.01852           27.8658E+03 
                7.3E-03            1.03274           27.5082E+03 
                7.40001E-03        1.04668           27.4542E+03 
                7.5E-03            1.0602            27.0761E+03 
                7.6E-03            1.07448           27.0205E+03 
                7.7E-03            1.08878           26.6487E+03 
                7.80001E-03        1.10309           26.555E+03  
                7.90001E-03        1.11709           26.214E+03  
                8.E-03             1.13149           26.0768E+03 
                8.1E-03            1.14589           25.7885E+03 
                8.2E-03            1.16029           25.5556E+03 
                8.30001E-03        1.17445           25.3476E+03 
                8.4E-03            1.18805           25.0841E+03 
                8.5E-03            1.20165           24.8681E+03 
                8.6E-03            1.21525           24.6501E+03 
                8.7E-03            1.22885           24.3712E+03 
                8.80001E-03        1.24245           24.2105E+03 
                8.9E-03            1.25646           23.9116E+03 
                9.E-03             1.27109           23.7039E+03 
                9.1E-03            1.28572           23.4225E+03 
                9.2E-03            1.30035           23.1693E+03 
                9.3E-03            1.31498           22.9412E+03 
                9.4E-03            1.32961           22.6777E+03 
                9.5E-03            1.34424           22.4365E+03 
                9.6E-03            1.35852           22.1823E+03 
                9.7E-03            1.37224           21.9362E+03 
                9.8E-03            1.38595           21.6947E+03 
                9.9E-03            1.39967           21.433E+03  
               10.E-03             1.41338           21.2076E+03 




