"displacement,mm","force,kN","force,N"
0.0,0.00274511,2.74511
0.0140006,2.4625500000000002,2462.55
0.028003,4.90212,4902.12
0.0420048,7.537140000000001,7537.14
0.0559993,10.078700000000001,10078.7
0.0699863,12.6476,12647.6
0.0840036,15.1814,15181.4
0.0980211,17.6612,17661.2
0.112037,20.091900000000003,20091.9
0.126061,22.4025,22402.5
0.140098,24.6369,24636.9
0.154067,26.909200000000002,26909.2
0.168039,29.0246,29024.6
0.18201,30.664,30664.0
0.19598,31.936200000000003,31936.2
0.209951,32.8692,32869.2
0.223922,33.8002,33800.2
0.237893,34.5749,34574.9
0.251842,35.3277,35327.7
0.265736,36.0514,36051.4
0.279627,36.6991,36699.1
0.29352,37.3277,37327.7
0.307413,37.897400000000005,37897.4
0.321306,38.4596,38459.6
0.335198,38.991,38991.0
0.349091,39.4949,39494.9
0.362983,39.977900000000005,39977.9
0.376877,40.4462,40446.2
0.390768,40.874199999999995,40874.2
0.404662,41.294900000000005,41294.9
0.418555,41.6864,41686.4
0.432447,42.0685,42068.5
0.44634,42.4232,42423.2
0.460232,42.7633,42763.3
0.474125,43.0893,43089.3
0.488018,43.3972,43397.2
0.501961,43.6888,43688.8
0.516009,43.963699999999996,43963.7
0.530059,44.223400000000005,44223.4
0.544107,44.4681,44468.1
0.558484,44.7037,44703.7
0.572885,44.9245,44924.5
0.587284,45.1301,45130.1
0.601686,45.3213,45321.3
0.616085,45.4994,45499.4
0.630485,45.6627,45662.7
0.644886,45.8122,45812.2
0.659285,45.9489,45948.9
0.673686,46.0719,46071.9
0.688085,46.181900000000006,46181.9
0.702485,46.2789,46278.9
0.716885,46.3627,46362.7
0.731285,46.4336,46433.6
0.745686,46.491400000000006,46491.4
0.760085,46.536300000000004,46536.3
0.774486,46.5681,46568.1
0.788886,46.586800000000004,46586.8
0.803284,46.592400000000005,46592.4
0.817685,46.5845,46584.5
0.832085,46.563300000000005,46563.3
0.846486,46.5287,46528.7
0.860885,46.4812,46481.2
0.875286,46.4215,46421.5
0.889686,46.3501,46350.1
0.904084,46.2678,46267.8
0.918485,46.1751,46175.1
0.932884,46.072900000000004,46072.9
0.947286,45.9613,45961.3
0.961685,45.8411,45841.1
0.976084,45.7126,45712.6
0.990481,45.5764,45576.4
1.00456,45.433099999999996,45433.1
1.01864,45.283500000000004,45283.5
1.03272,45.128099999999996,45128.1
1.0468,44.967400000000005,44967.4
1.06088,44.80180000000001,44801.8
1.07496,44.6315,44631.5
1.08904,44.456900000000005,44456.9
1.10312,44.278400000000005,44278.4
1.1172,44.096000000000004,44096.0
1.13128,43.9097,43909.7
1.14536,43.719800000000006,43719.8
1.15944,43.526199999999996,43526.2
1.17352,43.3291,43329.1
1.1876,43.128099999999996,43128.1
1.20168,42.920500000000004,42920.5
1.21576,42.7097,42709.7
1.22984,42.4942,42494.2
1.24392,42.2716,42271.6
1.258,42.0394,42039.4
1.27208,41.798500000000004,41798.5
1.28616,41.5506,41550.6
1.30024,41.2948,41294.8
1.31432,41.0317,41031.7
1.3284,40.7622,40762.2
1.34248,40.4866,40486.6
1.35645,39.0599,39059.9
1.36996,39.6472,39647.2
1.38347,39.633199999999995,39633.2
1.39698,39.523900000000005,39523.9
1.41049,39.1751,39175.1
