"strain,-","stress,MPa","stress,Pa"
0.0,659.549618845791,659549618.845791
0.0005,678.3085924044866,678308592.4044867
0.001,694.3566850924003,694356685.0924003
0.0015,708.1137567522516,708113756.7522515
0.002,719.9343950041979,719934395.0041978
0.0025,730.1180698703856,730118069.8703856
0.003,738.9177082299967,738917708.2299967
0.0035,746.5469340299503,746546934.0299503
0.004,753.1861818972977,753186181.8972977
0.0045,758.9878594797451,758987859.4797451
0.005,764.0807065524549,764080706.552455
0.0055,768.5734758888723,768573475.8888723
0.006,772.5580414393552,772558041.4393551
0.0065,776.1120229354838,776112022.9354838
0.007,779.3010021686858,779301002.1686858
0.0075,782.1803944812181,782180394.4812181
0.008,784.7970291195913,784797029.1195914
0.0085,787.190483751488,787190483.7514881
0.009,789.394211397574,789394211.3975741
0.0095,791.4364920770973,791436492.0770973
0.01,793.3412364400332,793341236.4400332
0.0105,795.1286644146024,795128664.4146024
0.011,796.8158783155019,796815878.3155019
0.0115,798.4173468323786,798417346.8323786
0.012,799.9453137631382,799945313.7631382
0.0125,801.410143199331,801410143.1993309
0.013,802.8206110492375,802820611.0492375
0.0135,804.1841512461087,804184151.2461088
0.014,805.5070636902229,805507063.690223
0.0145,806.7946898767196,806794689.8767196
0.015,808.0515612351364,808051561.2351364
0.0155,809.2815244246245,809281524.4246246
0.016,810.4878471685581,810487847.1685581
0.0165,811.6733076547108,811673307.6547108
0.017,812.8402700564072,812840270.0564072
0.0175,813.9907483325175,813990748.3325175
0.018,815.1264601284965,815126460.1284965
0.0185,816.248872317221,816248872.3172209
0.019,817.3592394790297,817359239.4790298
0.0195,818.4586364182725,818458636.4182725
0.02,819.547985643,819547985.643
0.0205,820.6280805903275,820628080.5903275
0.021,821.699605258304,821699605.258304
0.0215,822.763150802365,822763150.802365
0.022,823.8192295676691,823819229.5676692
0.0225,824.8682869553467,824868286.9553467
0.023,825.9107114588049,825910711.458805
0.0235,826.9468431539916,826946843.1539916
0.024,827.9769808833828,827976980.8833828
0.0245,829.0013883362075,829001388.3362075
0.025,830.0202991959484,830020299.1959484
0.0255,831.033921499589,831033921.4995891
0.026,832.0424413306329,832042441.3306329
0.0265,833.04602594897,833046025.9489701
0.027,834.0448264446647,834044826.4446647
0.0275,835.0389799892134,835038979.9892135
0.028,836.0286117464153,836028611.7464154
0.0285,837.0138364953508,837013836.4953508
0.029,837.9947600098226,837994760.0098226
0.0295,838.9714802317392,838971480.2317392
0.03,839.9440882701058,839944088.2701058
0.0305,840.9126692523901,840912669.25239
0.031,841.8773030508753,841877303.0508753
0.0315,842.838064903126,842838064.903126
0.032,843.7950259427204,843795025.9427204
0.0325,844.7482536539176,844748253.6539176
0.033,845.6978122618084,845697812.2618084
0.0335,846.6437630677237,846643763.0677238
0.034,847.5861647381604,847586164.7381604
0.0345,848.5250735542172,848525073.5542172
0.035,849.4605436274559,849460543.6274558
0.0355,850.3926270871938,850392627.0871937
0.036,851.3213742434667,851321374.2434667
0.0365,852.2468337292498,852246833.7292498
0.037,853.1690526249791,853169052.6249791
0.0375,854.0880765679472,854088076.5679471
0.038,855.0039498487595,855003949.8487595
0.0385,855.9167154967035,855916715.4967035
0.039,856.8264153556013,856826415.3556013
0.0395,857.7330901514797,857733090.1514797
0.04,858.636779553194,858636779.5531939
0.0405,859.5375222269679,859537522.2269679
0.041,860.4353558856684,860435355.8856684
0.0415,861.3303173335156,861330317.3335156
0.042,862.2224425068212,862222442.5068212
0.0425,863.1117665112649,863111766.5112649
0.043,863.9983236561396,863998323.6561396
0.0435,864.8821474859394,864882147.4859394
0.044,865.7632708096056,865763270.8096056
0.0445,866.6417257277038,866641725.7277038
