
                  X             Displacement          Force      

                0.                 0.                 4.16753    
              100.007E-06         20.0011E-03         1.43707E+03
              200.006E-06         40.0051E-03         2.90051E+03
              300.006E-06         59.9947E-03         4.43098E+03
              400.007E-06         79.9874E-03         5.68307E+03
              500.008E-06         99.9767E-03         7.27963E+03
              600.008E-06        119.945E-03          8.61698E+03
              700.009E-06        139.913E-03         10.175E+03  
              800.01E-06         159.881E-03         11.5291E+03 
              900.011E-06        179.849E-03         12.6588E+03 
                1.00001E-03      199.818E-03         12.7604E+03 
                1.10001E-03      219.786E-03         12.9545E+03 
                1.20001E-03      239.754E-03         13.0429E+03 
                1.30001E-03      259.722E-03         13.1114E+03 
                1.4E-03          279.687E-03         13.1879E+03 
                1.5E-03          299.655E-03         13.2503E+03 
                1.6E-03          319.624E-03         13.3018E+03 
                1.7E-03          339.592E-03         13.344E+03  
                1.8E-03          359.56E-03          13.3749E+03 
                1.9E-03          379.528E-03         13.4003E+03 
                2.E-03           399.572E-03         13.4215E+03 
                2.10001E-03      419.703E-03         13.438E+03  
                2.20001E-03      439.831E-03         13.4505E+03 
                2.3E-03          459.958E-03         13.4599E+03 
                2.40001E-03      480.089E-03         13.4655E+03 
                2.50001E-03      500.217E-03         13.4686E+03 
                2.6E-03          520.443E-03         13.4691E+03 
                2.70001E-03      540.677E-03         13.4676E+03 
                2.80001E-03      560.909E-03         13.4637E+03 
                2.9E-03          581.14E-03          13.4581E+03 
                3.00001E-03      601.374E-03         13.4509E+03 
                3.1E-03          621.605E-03         13.4422E+03 
                3.20001E-03      641.839E-03         13.4321E+03 
                3.30001E-03      662.07E-03          13.4208E+03 
                3.4E-03          682.301E-03         13.4084E+03 
                3.50001E-03      702.536E-03         13.3948E+03 
                3.60001E-03      722.767E-03         13.3801E+03 
                3.7E-03          742.998E-03         13.3645E+03 
                3.80001E-03      763.232E-03         13.3478E+03 
                3.90001E-03      783.463E-03         13.3302E+03 
                4.E-03           803.694E-03         13.3116E+03 
                4.10001E-03      823.929E-03         13.2922E+03 
                4.2E-03          844.16E-03          13.2719E+03 
                4.30001E-03      864.394E-03         13.2506E+03 
                4.40001E-03      884.625E-03         13.2285E+03 
                4.5E-03          904.799E-03         13.2053E+03 
                4.60001E-03      924.827E-03         13.1812E+03 
                4.70001E-03      944.851E-03         13.1563E+03 
                4.8E-03          964.877E-03         13.1298E+03 
                4.90001E-03      984.904E-03         13.1024E+03 
                5.00001E-03        1.00473           13.0743E+03 
                5.1E-03            1.02455           13.0453E+03 
                5.20001E-03        1.04437           13.0155E+03 
                5.3E-03            1.06419           12.9849E+03 
                5.40001E-03        1.08401           12.9536E+03 
                5.50001E-03        1.10383           12.9211E+03 
                5.6E-03            1.12374           12.887E+03  
                5.70001E-03        1.14422           12.8506E+03 
                5.80001E-03        1.1647            12.813E+03  
                5.9E-03            1.18518           12.7745E+03 
                6.E-03             1.20566           12.7348E+03 
                6.10001E-03        1.22614           12.6941E+03 
                6.20001E-03        1.24646           12.6521E+03 
                6.3E-03            1.26651           12.6089E+03 
                6.40001E-03        1.28657           12.5641E+03 
                6.50001E-03        1.30662           12.5178E+03 
                6.60001E-03        1.32668           12.4699E+03 
                6.7E-03            1.34673           12.4206E+03 
                6.80001E-03        1.36678           12.3699E+03 
                6.90001E-03        1.38684           12.3181E+03 
                7.E-03             1.40661           12.2653E+03 
                7.10001E-03        1.42683           12.21E+03   
                7.20001E-03        1.44674           12.1533E+03 
                7.30001E-03        1.46668           12.0953E+03 
                7.4E-03            1.48679           12.0344E+03 
                7.50001E-03        1.50661           11.9728E+03 
                7.60001E-03        1.52678           11.9084E+03 
                7.7E-03            1.54669           11.8426E+03 
                7.8E-03            1.56661           11.775E+03  
                7.90001E-03        1.5868            11.7045E+03 
                8.E-03             1.60657           11.633E+03  
                8.10001E-03        1.62619           11.5608E+03 
                8.2E-03            1.646             11.4852E+03 
                8.3E-03            1.66655           11.4049E+03 
                8.4E-03            1.68682           11.3238E+03 
                8.5E-03            1.70668           11.242E+03  
                8.60001E-03        1.72636           11.1596E+03 
                8.7E-03            1.74573           11.0761E+03 
                8.8E-03            1.76648           10.9852E+03 
                8.90001E-03        1.78684           10.8937E+03 
                9.E-03             1.80689           10.8018E+03 
                9.1E-03            1.82667           10.7097E+03 
                9.20001E-03        1.84603           10.6175E+03 
                9.3E-03            1.86589           10.5218E+03 
                9.40001E-03        1.88653           10.42E+03   
                9.5E-03            1.90701           10.3187E+03 
                9.6E-03            1.92686           10.2177E+03 
                9.70001E-03        1.9467            10.1171E+03 
                9.8E-03            1.96597           10.0165E+03 
                9.9E-03            1.98537            9.91549E+03
               10.E-03             2.0062             9.80573E+03




