"displacement,mm","force,kN","force,N"
0.0,0.0028344399999999997,2.83444
0.0109994,1.32212,1322.12
0.0219971,2.56764,2567.64
0.0329979,3.84633,3846.33
0.0440047,5.1669,5166.9
0.0550056,6.40387,6403.87
0.0660037,7.60459,7604.59
0.0769923,8.74779,8747.79
0.0879715,9.759530000000002,9759.53
0.0989505,10.55,10550.0
0.109933,11.1271,11127.1
0.120912,11.7663,11766.3
0.131891,12.302200000000001,12302.2
0.142872,12.7585,12758.5
0.153879,13.164200000000001,13164.2
0.164897,13.5365,13536.5
0.175917,13.8355,13835.5
0.186935,14.0703,14070.3
0.197955,14.258799999999999,14258.8
0.208973,14.3916,14391.6
0.220015,14.4719,14471.9
0.231074,14.515200000000002,14515.2
0.242133,14.5411,14541.1
0.253175,14.5632,14563.2
0.264178,14.579,14579.0
0.275182,14.5933,14593.3
0.286185,14.6041,14604.1
0.29719,14.6138,14613.8
0.308193,14.622,14622.0
0.319197,14.6283,14628.3
0.3302,14.6334,14633.4
0.341204,14.6374,14637.4
0.352205,14.6403,14640.3
0.363096,14.6422,14642.2
0.373988,14.6432,14643.2
0.384879,14.6433,14643.3
0.395837,14.6425,14642.5
0.406921,14.6409,14640.9
0.418008,14.6384,14638.4
0.429093,14.635299999999999,14635.3
0.440179,14.6314,14631.4
0.451264,14.6268,14626.8
0.462258,14.6216,14621.6
0.47323,14.6157,14615.7
0.4842,14.609100000000002,14609.1
0.495172,14.602,14602.0
0.506143,14.5942,14594.2
0.517115,14.5859,14585.9
0.528087,14.5769,14576.9
0.539057,14.5674,14567.4
0.55003,14.5573,14557.3
0.561,14.546600000000002,14546.6
0.571972,14.5354,14535.4
0.582943,14.5236,14523.6
0.593914,14.5111,14511.1
0.604702,14.4982,14498.2
0.615444,14.4846,14484.6
0.626188,14.470600000000001,14470.6
0.63693,14.4559,14455.9
0.64806,14.440100000000001,14440.1
0.659201,14.4237,14423.7
0.670342,14.4067,14406.7
0.681482,14.389000000000001,14389.0
0.692623,14.370600000000001,14370.6
0.703765,14.351700000000001,14351.7
0.714905,14.332,14332.0
0.726045,14.3116,14311.6
0.737187,14.290600000000001,14290.6
0.748326,14.268799999999999,14268.8
0.759468,14.2463,14246.3
0.770474,14.223,14223.0
0.781379,14.199100000000001,14199.1
0.792282,14.174299999999999,14174.3
0.803185,14.148700000000002,14148.7
0.814091,14.1223,14122.3
0.824993,14.095,14095.0
0.835896,14.0669,14066.9
0.846802,14.037799999999999,14037.8
0.857705,14.0078,14007.8
0.868976,13.9758,13975.8
0.880298,13.9426,13942.6
0.891621,13.9085,13908.5
0.902945,13.8731,13873.1
0.91423,13.8366,13836.6
0.925308,13.799100000000001,13799.1
0.936385,13.7604,13760.4
0.947461,13.7205,13720.5
0.958538,13.6796,13679.6
0.969616,13.6373,13637.3
0.980691,13.5938,13593.8
0.991769,13.549,13549.0
1.00267,13.5034,13503.4
1.0135,13.4569,13456.9
1.02434,13.4095,13409.5
1.0354,13.358500000000001,13358.5
1.0466,13.3054,13305.4
1.0578,13.2514,13251.4
1.06875,13.1966,13196.6
1.07941,13.1411,13141.1
1.09028,13.0837,13083.7
1.10171,13.0215,13021.5
