"displacement,mm","force,kN","force,N"
0.0,0.00274511,2.74511
0.0140006,2.4625500000000002,2462.55
0.028003,4.90212,4902.12
0.0420048,7.53688,7536.88
0.0559993,10.0487,10048.7
0.0699863,12.4444,12444.4
0.0840038,14.746500000000001,14746.5
0.0980211,16.6143,16614.3
0.112037,17.6353,17635.3
0.12606,18.0117,18011.7
0.140097,18.305400000000002,18305.4
0.154067,18.496299999999998,18496.3
0.168038,18.6453,18645.3
0.18201,18.756700000000002,18756.7
0.19598,18.846700000000002,18846.7
0.209951,18.9211,18921.1
0.223921,18.983,18983.0
0.237893,19.037599999999998,19037.6
0.251844,19.085400000000003,19085.4
0.265737,19.1286,19128.6
0.279629,19.1673,19167.3
0.293522,19.2024,19202.4
0.307414,19.2344,19234.4
0.321308,19.263900000000003,19263.9
0.335199,19.2908,19290.8
0.349093,19.3156,19315.6
0.362985,19.3382,19338.2
0.376878,19.359099999999998,19359.1
0.39077,19.3783,19378.3
0.404663,19.3957,19395.7
0.418556,19.4117,19411.7
0.432449,19.4262,19426.2
0.446342,19.439400000000003,19439.4
0.460234,19.4511,19451.1
0.474127,19.4616,19461.6
0.488019,19.4709,19470.9
0.501949,19.4791,19479.1
0.515996,19.4861,19486.1
0.530046,19.4921,19492.1
0.544094,19.497,19497.0
0.558472,19.500799999999998,19500.8
0.572872,19.5035,19503.5
0.587273,19.5051,19505.1
0.601673,19.505599999999998,19505.6
0.616073,19.505,19505.0
0.630471,19.503400000000003,19503.4
0.644873,19.500799999999998,19500.8
0.659272,19.497,19497.0
0.673673,19.4923,19492.3
0.688072,19.4865,19486.5
0.702473,19.4797,19479.7
0.716873,19.4719,19471.9
0.731273,19.463,19463.0
0.745673,19.453,19453.0
0.760072,19.442,19442.0
0.774474,19.43,19430.0
0.788872,19.416900000000002,19416.9
0.803272,19.402900000000002,19402.9
0.817673,19.3878,19387.8
0.832073,19.3717,19371.7
0.846474,19.354599999999998,19354.6
0.860692,19.3366,19336.6
0.874772,19.3176,19317.6
0.888852,19.2976,19297.6
0.902931,19.2766,19276.6
0.917012,19.2545,19254.5
0.931091,19.2315,19231.5
0.945172,19.207400000000003,19207.4
0.959252,19.1824,19182.4
0.973331,19.156299999999998,19156.3
0.987412,19.1293,19129.3
1.00149,19.101200000000002,19101.2
1.01557,19.072,19072.0
1.02965,19.041700000000002,19041.7
1.04373,19.0105,19010.5
1.05781,18.9782,18978.2
1.07189,18.9448,18944.8
1.08597,18.910400000000003,18910.4
1.10005,18.8748,18874.8
1.11413,18.838099999999997,18838.1
1.12821,18.8002,18800.2
1.14229,18.761400000000002,18761.4
1.15637,18.7215,18721.5
1.17045,18.680500000000002,18680.5
1.18453,18.6383,18638.3
1.19861,18.594900000000003,18594.9
1.21269,18.550400000000003,18550.4
1.22677,18.504900000000003,18504.9
1.24085,18.458000000000002,18458.0
1.25493,18.4099,18409.9
1.26901,18.360599999999998,18360.6
1.28309,18.310200000000002,18310.2
1.29717,18.2585,18258.5
1.31125,18.2056,18205.6
1.32533,18.151400000000002,18151.4
1.33941,18.096,18096.0
1.35349,18.0392,18039.2
1.36727,17.6432,17643.2
1.38078,17.9674,17967.4
1.3943,17.882099999999998,17882.1
1.40781,17.8529,17852.9
