
                  X             Displacement          Force      

                0.                 0.                 2.74511    
              100.009E-06         14.0006E-03         2.46255E+03
              200.E-06            28.003E-03          4.90212E+03
              300.004E-06         42.0048E-03         7.5149E+03 
              400.008E-06         55.9993E-03         9.99258E+03
              500.004E-06         69.9863E-03        12.258E+03  
              600.006E-06         84.0038E-03        13.8357E+03 
              700.008E-06         98.0211E-03        14.8599E+03 
              800.001E-06        112.037E-03         15.715E+03  
              900.003E-06        126.06E-03          16.3538E+03 
                1.00001E-03      140.097E-03         16.9163E+03 
                1.1E-03          154.066E-03         17.3283E+03 
                1.2E-03          168.038E-03         17.6563E+03 
                1.30001E-03      182.009E-03         17.8986E+03 
                1.4E-03          195.979E-03         18.0962E+03 
                1.50001E-03      209.951E-03         18.2263E+03 
                1.6E-03          223.921E-03         18.3306E+03 
                1.70001E-03      237.892E-03         18.411E+03  
                1.8E-03          251.843E-03         18.4704E+03 
                1.90001E-03      265.736E-03         18.5208E+03 
                2.E-03           279.628E-03         18.5628E+03 
                2.10001E-03      293.521E-03         18.6001E+03 
                2.2E-03          307.413E-03         18.6334E+03 
                2.30001E-03      321.306E-03         18.6633E+03 
                2.4E-03          335.199E-03         18.6909E+03 
                2.50001E-03      349.092E-03         18.7162E+03 
                2.6E-03          362.984E-03         18.7395E+03 
                2.70001E-03      376.877E-03         18.7612E+03 
                2.8E-03          390.77E-03          18.7811E+03 
                2.9E-03          404.663E-03         18.7998E+03 
                3.00001E-03      418.556E-03         18.817E+03  
                3.1E-03          432.448E-03         18.8333E+03 
                3.20001E-03      446.341E-03         18.8484E+03 
                3.3E-03          460.233E-03         18.8624E+03 
                3.40001E-03      474.126E-03         18.8756E+03 
                3.5E-03          488.018E-03         18.8879E+03 
                3.60001E-03      501.949E-03         18.8993E+03 
                3.7E-03          515.996E-03         18.9098E+03 
                3.80001E-03      530.046E-03         18.9197E+03 
                3.9E-03          544.094E-03         18.9289E+03 
                4.E-03           558.472E-03         18.9376E+03 
                4.10001E-03      572.872E-03         18.9456E+03 
                4.2E-03          587.273E-03         18.9528E+03 
                4.30001E-03      601.673E-03         18.9592E+03 
                4.4E-03          616.073E-03         18.9651E+03 
                4.5E-03          630.471E-03         18.9702E+03 
                4.60001E-03      644.873E-03         18.9748E+03 
                4.7E-03          659.272E-03         18.9788E+03 
                4.80001E-03      673.673E-03         18.9822E+03 
                4.9E-03          688.072E-03         18.985E+03  
                5.00001E-03      702.473E-03         18.9872E+03 
                5.1E-03          716.873E-03         18.9889E+03 
                5.2E-03          731.273E-03         18.9901E+03 
                5.30001E-03      745.673E-03         18.9906E+03 
                5.4E-03          760.072E-03         18.9907E+03 
                5.50001E-03      774.472E-03         18.9901E+03 
                5.6E-03          788.872E-03         18.989E+03  
                5.7E-03          803.272E-03         18.9874E+03 
                5.80001E-03      817.673E-03         18.9852E+03 
                5.9E-03          832.072E-03         18.9824E+03 
                6.00001E-03      846.473E-03         18.9791E+03 
                6.1E-03          860.873E-03         18.9753E+03 
                6.20001E-03      875.274E-03         18.9709E+03 
                6.3E-03          889.423E-03         18.966E+03  
                6.4E-03          903.503E-03         18.9605E+03 
                6.50001E-03      917.584E-03         18.9545E+03 
                6.6E-03          931.663E-03         18.9479E+03 
                6.70001E-03      945.744E-03         18.9408E+03 
                6.8E-03          959.824E-03         18.9332E+03 
                6.9E-03          973.903E-03         18.925E+03  
                7.00001E-03      987.984E-03         18.9162E+03 
                7.1E-03            1.00206           18.9068E+03 
                7.20001E-03        1.01614           18.8968E+03 
                7.3E-03            1.03022           18.8862E+03 
                7.40001E-03        1.0443            18.8751E+03 
                7.5E-03            1.05838           18.8633E+03 
                7.6E-03            1.07246           18.8509E+03 
                7.70001E-03        1.08654           18.838E+03  
                7.8E-03            1.10062           18.8244E+03 
                7.90001E-03        1.1147            18.8103E+03 
                8.E-03             1.12878           18.7955E+03 
                8.1E-03            1.14286           18.7802E+03 
                8.20001E-03        1.15694           18.7642E+03 
                8.3E-03            1.17102           18.7477E+03 
                8.40001E-03        1.1851            18.7304E+03 
                8.5E-03            1.19918           18.7126E+03 
                8.6E-03            1.21326           18.6941E+03 
                8.7E-03            1.22734           18.6749E+03 
                8.8E-03            1.24142           18.6551E+03 
                8.90001E-03        1.2555            18.6347E+03 
                9.E-03             1.26958           18.6136E+03 
                9.10001E-03        1.28366           18.5916E+03 
                9.2E-03            1.29774           18.569E+03  
                9.3E-03            1.31182           18.5457E+03 
                9.40001E-03        1.3259            18.5218E+03 
                9.5E-03            1.33998           18.497E+03  
                9.60001E-03        1.35406           18.4715E+03 
                9.7E-03            1.36814           18.445E+03  
                9.8E-03            1.38222           18.418E+03  
                9.9E-03            1.3963            18.3901E+03 
               10.E-03             1.41038           18.3615E+03 




