"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.0200011,1.43707,1437.07
0.0400051,2.90051,2900.51
0.0599947,4.43098,4430.98
0.0799874,5.68307,5683.07
0.0999767,7.27963,7279.63
0.119945,8.57666,8576.66
0.139913,9.32435,9324.35
0.159881,10.1595,10159.5
0.179849,10.7672,10767.2
0.199818,11.3544,11354.4
0.219786,11.843200000000001,11843.2
0.239754,12.2583,12258.3
0.259722,12.6623,12662.3
0.279687,12.9296,12929.6
0.299655,13.1733,13173.3
0.319623,13.367700000000001,13367.7
0.339592,13.4983,13498.3
0.35956,13.583,13583.0
0.379528,13.644200000000001,13644.2
0.399572,13.6853,13685.3
0.419703,13.7126,13712.6
0.439831,13.7355,13735.5
0.459958,13.7568,13756.8
0.480089,13.773700000000002,13773.7
0.500217,13.7884,13788.4
0.520245,13.8016,13801.6
0.540272,13.8132,13813.2
0.560297,13.8234,13823.4
0.580322,13.8324,13832.4
0.600349,13.8408,13840.8
0.620375,13.8484,13848.4
0.640402,13.8549,13854.9
0.660427,13.8605,13860.5
0.680451,13.8656,13865.6
0.700479,13.869700000000002,13869.7
0.720504,13.8733,13873.3
0.740528,13.876100000000001,13876.1
0.760556,13.8784,13878.4
0.780581,13.88,13880.0
0.800606,13.8811,13881.1
0.820633,13.8816,13881.6
0.840658,13.8816,13881.6
0.860686,13.8811,13881.1
0.880684,13.8801,13880.1
0.900503,13.8786,13878.6
0.920324,13.8766,13876.6
0.940142,13.874200000000002,13874.2
0.959961,13.8713,13871.3
0.979711,13.868,13868.0
0.999631,13.8642,13864.2
1.02002,13.8599,13859.9
1.04007,13.855200000000002,13855.2
1.06012,13.85,13850.0
1.08018,13.8445,13844.5
1.10023,13.8385,13838.5
1.12028,13.8321,13832.1
1.14034,13.8253,13825.3
1.16039,13.818,13818.0
1.18044,13.8104,13810.4
1.20018,13.802299999999999,13802.3
1.21981,13.7939,13793.9
1.23943,13.785,13785.0
1.25949,13.7756,13775.6
1.27979,13.765600000000001,13765.6
1.30009,13.7551,13755.1
1.3204,13.744200000000001,13744.2
1.3407,13.732700000000001,13732.7
1.361,13.7204,13720.4
1.38131,13.707600000000001,13707.6
1.40161,13.6941,13694.1
1.42192,13.6796,13679.6
1.44222,13.6646,13664.6
1.46252,13.6492,13649.2
1.48283,13.6333,13633.3
1.50313,13.6169,13616.9
1.52343,13.6,13600.0
1.54373,13.582600000000001,13582.6
1.56392,13.5647,13564.7
1.5832,13.5468,13546.8
1.6024,13.5283,13528.3
1.62285,13.5082,13508.2
1.64342,13.4874,13487.4
1.66399,13.466000000000001,13466.0
1.68456,13.444,13444.0
1.70514,13.4212,13421.2
1.72571,13.3976,13397.6
1.74628,13.3733,13373.3
1.76685,13.3483,13348.3
1.78742,13.322600000000001,13322.6
1.80799,13.2959,13295.9
1.82856,13.268600000000001,13268.6
1.84901,13.2405,13240.5
1.86913,13.2114,13211.4
1.88924,13.1813,13181.3
1.90936,13.1499,13149.9
1.92947,13.117,13117.0
1.94959,13.082600000000001,13082.6
1.9697,13.0471,13047.1
1.98981,13.0105,13010.5
2.00993,12.9728,12972.8
