
                  X             Displacement          Force      

                0.                 0.                 2.83444    
              100.001E-06         10.9994E-03         1.32212E+03
              200.013E-06         21.9971E-03         2.56764E+03
              300.002E-06         32.9979E-03         3.84633E+03
              400.001E-06         44.0047E-03         5.1669E+03 
              500.013E-06         55.0058E-03         6.40914E+03
              600.011E-06         66.004E-03          7.63105E+03
              700.01E-06          77.0094E-03         8.9267E+03 
              800.008E-06         87.9884E-03        10.1854E+03 
              900.007E-06         98.9676E-03        11.3669E+03 
                1.E-03           109.947E-03         12.5518E+03 
                1.1E-03          120.926E-03         13.6771E+03 
                1.2E-03          131.905E-03         14.7317E+03 
                1.3E-03          142.884E-03         15.7219E+03 
                1.40001E-03      153.865E-03         16.5227E+03 
                1.50001E-03      164.844E-03         17.0693E+03 
                1.6E-03          175.866E-03         17.5154E+03 
                1.70001E-03      186.886E-03         18.0463E+03 
                1.8E-03          197.904E-03         18.4965E+03 
                1.90001E-03      208.924E-03         18.9093E+03 
                2.00001E-03      219.898E-03         19.2931E+03 
                2.1E-03          230.822E-03         19.6468E+03 
                2.2E-03          241.746E-03         20.0356E+03 
                2.3E-03          252.717E-03         20.3797E+03 
                2.4E-03          263.833E-03         20.7126E+03 
                2.5E-03          274.948E-03         21.0436E+03 
                2.6E-03          286.064E-03         21.3554E+03 
                2.7E-03          297.18E-03          21.6581E+03 
                2.8E-03          308.296E-03         21.9541E+03 
                2.9E-03          319.398E-03         22.2388E+03 
                3.E-03           330.402E-03         22.5187E+03 
                3.1E-03          341.405E-03         22.7845E+03 
                3.2E-03          352.409E-03         23.0439E+03 
                3.3E-03          363.412E-03         23.3014E+03 
                3.40001E-03      374.417E-03         23.5413E+03 
                3.50001E-03      385.42E-03          23.7732E+03 
                3.60001E-03      396.424E-03         23.9998E+03 
                3.70001E-03      407.427E-03         24.223E+03  
                3.80001E-03      418.431E-03         24.436E+03  
                3.90001E-03      429.434E-03         24.6416E+03 
                4.00001E-03      440.622E-03         24.8396E+03 
                4.1E-03          451.821E-03         25.034E+03  
                4.20001E-03      463.022E-03         25.2229E+03 
                4.30001E-03      474.222E-03         25.4027E+03 
                4.4E-03          485.422E-03         25.5757E+03 
                4.50001E-03      496.622E-03         25.746E+03  
                4.6E-03          507.821E-03         25.9098E+03 
                4.70001E-03      519.022E-03         26.0686E+03 
                4.8E-03          530.221E-03         26.2251E+03 
                4.90001E-03      541.421E-03         26.3747E+03 
                5.00001E-03      552.622E-03         26.522E+03  
                5.1E-03          563.821E-03         26.6656E+03 
                5.20001E-03      575.021E-03         26.8033E+03 
                5.3E-03          586.221E-03         26.9377E+03 
                5.40001E-03      597.421E-03         27.0675E+03 
                5.50001E-03      608.622E-03         27.1944E+03 
                5.6E-03          619.717E-03         27.3171E+03 
                5.70001E-03      630.688E-03         27.4359E+03 
                5.8E-03          641.659E-03         27.5508E+03 
                5.90001E-03      652.631E-03         27.6617E+03 
                6.E-03           663.601E-03         27.7686E+03 
                6.10001E-03      674.574E-03         27.8719E+03 
                6.20001E-03      685.547E-03         27.9714E+03 
                6.3E-03          696.517E-03         28.0668E+03 
                6.40001E-03      707.489E-03         28.1581E+03 
                6.5E-03          718.46E-03          28.2455E+03 
                6.60001E-03      729.431E-03         28.3287E+03 
                6.70001E-03      740.403E-03         28.4078E+03 
                6.8E-03          751.373E-03         28.4826E+03 
                6.90001E-03      762.346E-03         28.5531E+03 
                7.E-03           773.316E-03         28.6193E+03 
                7.10001E-03      784.288E-03         28.6809E+03 
                7.20001E-03      795.261E-03         28.7375E+03 
                7.3E-03          806.231E-03         28.7888E+03 
                7.40001E-03      817.203E-03         28.835E+03  
                7.5E-03          828.174E-03         28.8757E+03 
                7.60001E-03      839.146E-03         28.9105E+03 
                7.7E-03          850.117E-03         28.9386E+03 
                7.80001E-03      861.088E-03         28.9598E+03 
                7.90001E-03      872.06E-03          28.9734E+03 
                8.E-03           883.03E-03          28.9782E+03 
                8.10001E-03      893.944E-03         28.9734E+03 
                8.2E-03          904.686E-03         28.9587E+03 
                8.30001E-03      915.429E-03         28.9342E+03 
                8.40001E-03      926.174E-03         28.9003E+03 
                8.5E-03          936.916E-03         28.8576E+03 
                8.60001E-03      947.659E-03         28.8066E+03 
                8.7E-03          958.401E-03         28.7481E+03 
                8.80001E-03      969.144E-03         28.6828E+03 
                8.9E-03          979.886E-03         28.6114E+03 
                9.E-03           990.63E-03          28.5345E+03 
                9.10001E-03        1.00126           28.4526E+03 
                9.2E-03            1.01178           28.3661E+03 
                9.30001E-03        1.02229           28.2755E+03 
                9.4E-03            1.0328            28.1811E+03 
                9.50001E-03        1.04332           28.0831E+03 
                9.60001E-03        1.05383           27.9816E+03 
                9.7E-03            1.06435           27.8769E+03 
                9.80001E-03        1.07486           27.7689E+03 
                9.9E-03            1.08606           27.6504E+03 
               10.E-03             1.09738           27.5269E+03 




