"strain,-","stress,MPa","stress,Pa"
0.0,704.7415721877866,704741572.1877866
0.0005,748.2970046021572,748297004.6021572
0.001,786.5453294483765,786545329.4483765
0.0015,820.1419822673445,820141982.2673445
0.002,849.6614250426595,849661425.0426595
0.0025,875.6071500958866,875607150.0958866
0.003,898.4204480429402,898420448.0429401
0.0035,918.4880925067397,918488092.5067397
0.004,936.1490754164372,936149075.4164371
0.0045,951.7005101893242,951700510.1893241
0.005,965.4028056000786,965402805.6000786
0.0055,977.484200440909,977484200.440909
0.006,988.144737944232,988144737.944232
0.0065,997.5597491828978,997559749.1828978
0.007,1005.8829061117425,1005882906.1117425
0.0075,1013.2488974194883,1013248897.4194883
0.008,1019.7757737911987,1019775773.7911987
0.0085,1025.5670034242269,1025567003.4242269
0.009,1030.7132735946248,1030713273.5946248
0.0095,1035.2940696484068,1035294069.6484067
0.01,1039.379058915887,1039379058.9158871
0.0105,1043.029303650018,1043029303.650018
0.011,1046.2983241120855,1046298324.1120856
0.0115,1049.2330303184178,1049233030.3184178
0.012,1051.874538674469,1051874538.674469
0.0125,1054.258887717952,1054258887.7179519
0.013,1056.4176654356572,1056417665.4356573
0.0135,1058.3785590786401,1058378559.0786401
0.014,1060.165837050766,1060165837.050766
0.0145,1061.8007712626463,1061800771.2626463
0.015,1063.3020073062037,1063302007.3062037
0.0155,1064.6858888963882,1064685888.8963882
0.016,1065.9667422301345,1065966742.2301345
0.0165,1067.157125214599,1067157125.2145991
0.017,1068.2680459049136,1068268045.9049137
0.0175,1069.3091539554753,1069309153.9554752
0.018,1070.2889084188232,1070288908.4188232
0.0185,1071.2147248142421,1071214724.8142421
0.019,1072.0931040272148,1072093104.0272149
0.0195,1072.9297452844355,1072929745.2844355
0.02,1073.7296451717614,1073729645.1717614
0.0205,1074.4971844194317,1074497184.4194317
0.021,1075.236203965838,1075236203.965838
0.0215,1075.9500716244252,1075950071.6244252
0.022,1076.641740514653,1076641740.514653
0.0225,1077.3138002745238,1077313800.2745237
0.023,1077.968521946465,1077968521.946465
0.0235,1078.6078973181945,1078607897.3181946
0.024,1079.2336734036114,1079233673.4036114
0.0245,1079.8473826641377,1079847382.6641378
0.025,1080.4503694967448,1080450369.4967449
0.0255,1081.04381344989,1081043813.44989
0.026,1081.6287495716108,1081628749.5716107
0.0265,1082.2060862440685,1082206086.2440684
0.027,1082.7766208150776,1082776620.8150775
0.0275,1083.3410532987793,1083341053.2987792
0.028,1083.8999983840026,1083899998.3840027
0.0285,1084.4539959593812,1084453995.9593813
0.029,1085.0035203384643,1085003520.3384643
0.0295,1085.5489883454272,1085548988.3454273
0.03,1086.090766402136,1086090766.402136
0.0305,1086.6291767399443,1086629176.7399445
0.031,1087.1645028443422,1087164502.8443422
0.0315,1087.6969942272347,1087696994.2272346
0.032,1088.2268706099064,1088226870.6099064
0.0325,1088.754325589474,1088754325.5894742
0.033,1089.2795298526353,1089279529.8526354
0.0335,1089.802633992632,1089802633.9926322
0.034,1090.3237709784485,1090323770.9784484
0.0345,1090.843058319197,1090843058.3191972
0.035,1091.3605999613515,1091360599.9613514
0.0355,1091.8764879518167,1091876487.9518166
0.036,1092.3908038957734,1092390803.8957734
0.0365,1092.9036202346308,1092903620.2346308
0.037,1093.4150013663207,1093415001.3663206
0.0375,1093.9250046273987,1093925004.6273987
0.038,1094.43368115402,1094433681.1540198
0.0385,1094.9410766367537,1094941076.6367536
0.039,1095.4472319823453,1095447231.9823453
0.0395,1095.9521838939136,1095952183.8939135
0.04,1096.4559653796632,1096455965.3796632
0.0405,1096.9586061989346,1096958606.1989346
0.041,1097.4601332533289,1097460133.2533288
0.0415,1097.9605709296902,1097960570.9296901
0.042,1098.459941400893,1098459941.400893
0.0425,1098.9582648896335,1098958264.8896334
0.043,1099.4555598998047,1099455559.8998048
0.0435,1099.9518434194451,1099951843.419445
0.044,1100.447131098778,1100447131.098778
0.0445,1100.9414374064092,1100941437.4064093
0.045,1101.4347757663807,1101434775.7663805
0.0455,1101.927158678443,1101927158.678443
0.046,1102.4185978236146,1102418597.8236146
0.0465,1102.9091041568436,1102909104.1568437
0.047,1103.3986879883614,1103398687.9883614
0.0475,1103.8873590551245,1103887359.0551245
0.048,1104.3751265835622,1104375126.5835621
0.0485,1104.8619993447062,1104861999.3447063
0.049,1105.3479857026373,1105347985.7026372
0.0495,1105.8330936570726,1105833093.6570725
0.05,1106.3173308808152,1106317330.8808153
0.0505,1106.8007047526985,1106800704.7526984
0.051,1107.283222386579,1107283222.386579
0.0515,1107.7648906568625,1107764890.6568625
0.052,1108.2457162209912,1108245716.2209911
0.0525,1108.7257055392645,1108725705.5392644
0.053,1109.2048648923194,1109204864.8923194
0.0535,1109.6832003965583,1109683200.3965583
0.054,1110.1607180177764,1110160718.0177765
0.0545,1110.6374235832068,1110637423.583207
0.055,1111.1133227921807,1111113322.7921808
0.0555,1111.588421225567,1111588421.2255669
0.056,1112.0627243541423,1112062724.3541424
0.0565,1112.5362375460259,1112536237.5460258
0.057,1113.0089660732808,1113008966.0732808
0.0575,1113.4809151178013,1113480915.1178012
0.058,1113.952089776553,1113952089.7765532
0.0585,1114.4224950662597,1114422495.0662596
0.059,1114.8921359275928,1114892135.9275928
0.0595,1115.3610172289307,1115361017.2289307
0.06,1115.8291437697355,1115829143.7697356
0.0605,1116.2965202835928,1116296520.283593
0.061,1116.7631514409572,1116763151.4409573
0.0615,1117.2290418516352,1117229041.8516352
0.062,1117.6941960670401,1117694196.0670402
0.0625,1118.1586185822414,1118158618.5822413
0.063,1118.6223138378364,1118622313.8378363
0.0635,1119.0852862216627,1119085286.2216628
0.064,1119.5475400703706,1119547540.0703707
0.0645,1120.0090796708705,1120009079.6708705
0.065,1120.4699092616702,1120469909.26167
0.0655,1120.9300330341152,1120930033.0341153
0.066,1121.3894551335413,1121389455.1335413
0.0665,1121.84817966035,1121848179.66035
0.067,1122.306210671014,1122306210.671014
0.0675,1122.763552179022,1122763552.179022
0.068,1123.2202081557696,1123220208.1557696
0.0685,1123.6761825313965,1123676182.5313966
0.069,1124.1314791955847,1124131479.1955848
0.0695,1124.5861019983126,1124586101.9983127
0.07,1125.040054750576,1125040054.750576
0.0705,1125.4933412250734,1125493341.2250733
0.071,1125.9459651568652,1125945965.1568651
0.0715,1126.397930244003,1126397930.244003
0.072,1126.8492401481367,1126849240.1481366
0.0725,1127.299898495098,1127299898.4950979
0.073,1127.7499088754637,1127749908.8754637
0.0735,1128.199274845101,1128199274.8451009
0.074,1128.6479999256926,1128647999.9256926
0.0745,1129.09608760525,1129096087.60525
0.075,1129.5435413386087,1129543541.3386087
0.0755,1129.99036454791,1129990364.54791
0.076,1130.4365606230713,1130436560.6230712
0.0765,1130.882132922242,1130882132.922242
0.077,1131.3270847722501,1131327084.7722502
0.0775,1131.771419469038,1131771419.469038
0.078,1132.2151402780846,1132215140.2780845
0.0785,1132.6582504348248,1132658250.4348247
0.079,1133.1007531450516,1133100753.1450517
0.0795,1133.542651585316,1133542651.585316
0.08,1133.9839489033154,1133983948.9033153
0.0805,1134.4246482182753,1134424648.2182753
0.081,1134.8647526213224,1134864752.6213224
0.0815,1135.3042651758524,1135304265.1758523
0.082,1135.743188917887,1135743188.917887
0.0825,1136.1815268564294,1136181526.8564293
0.083,1136.619281973809,1136619281.973809
0.0835,1137.056457226021,1137056457.226021
0.084,1137.4930555430606,1137493055.5430605
0.0845,1137.929079829252,1137929079.829252
0.085,1138.3645329635683,1138364532.9635682
0.0855,1138.7994177999508,1138799417.7999508
0.086,1139.2337371676174,1139233737.1676173
0.0865,1139.6674938713709,1139667493.8713708
0.087,1140.1006906918988,1140100690.6918988
0.0875,1140.5333303860687,1140533330.3860686
0.088,1140.9654156872205,1140965415.6872206
0.0885,1141.3969493054517,1141396949.3054516
0.089,1141.8279339278995,1141827933.9278996
0.0895,1142.2583722190175,1142258372.2190175
0.09,1142.6882668208477,1142688266.8208477
