"strain,-","stress,MPa","stress,Pa"
0.0,1482.0389499344922,1482038949.934492
0.0005,1486.1975474197452,1486197547.4197452
0.001,1490.1240676390953,1490124067.6390953
0.0015,1493.832685393621,1493832685.393621
0.002,1497.3367044250435,1497336704.4250436
0.0025,1500.6486109859088,1500648610.9859087
0.003,1503.7801241146947,1503780124.1146946
0.0035,1506.7422428185332,1506742242.8185332
0.004,1509.5452903537634,1509545290.3537633
0.0045,1512.1989557828347,1512198955.7828348
0.005,1514.7123329750937,1514712332.9750936
0.0055,1517.0939572086897,1517093957.2086897
0.006,1519.3518395211538,1519351839.5211537
0.0065,1521.4934989471367,1521493498.9471366
0.007,1523.5259927732675,1523525992.7732675
0.0075,1525.4559449321048,1525455944.9321048
0.008,1527.289572649645,1527289572.6496449
0.0085,1529.032711453816,1529032711.4538162
0.009,1530.690838644772,1530690838.6447718
0.0095,1532.2690953216065,1532269095.3216066
0.01,1533.7723070542788,1533772307.0542789
0.0105,1535.2050032840923,1535205003.2840922
0.011,1536.5714355309242,1536571435.530924
0.0115,1537.8755944806144,1537875594.4806144
0.012,1539.1212260213863,1539121226.0213864
0.0125,1540.3118462939524,1540311846.2939525
0.013,1541.450755815969,1541450755.815969
0.0135,1542.541052737779,1542541052.737779
0.014,1543.5856452828764,1543585645.2828765
0.0145,1544.5872634232433,1544587263.4232433
0.015,1545.5484698366151,1545548469.836615
0.0155,1546.471670189855,1546471670.189855
0.016,1547.359122789874,1547359122.7898738
0.0165,1548.2129476410084,1548212947.6410084
0.017,1549.0351349453615,1549035134.9453616
0.0175,1549.8275530803703,1549827553.0803704
0.018,1550.591956085752,1550591956.085752
0.0185,1551.3299906900127,1551329990.6900127
0.019,1552.0432029048334,1552043202.9048333
0.0195,1552.7330442139169,1552733044.2139168
0.02,1553.4008773812375,1553400877.3812375
0.0205,1554.0479819021034,1554047981.9021034
0.021,1554.6755591190035,1554675559.1190035
0.0215,1555.2847370228556,1555284737.0228555
0.022,1555.8765747590037,1555876574.7590036
0.0225,1556.452066856132,1556452066.856132
0.023,1557.0121471951293,1557012147.1951292
0.0235,1557.5576927339046,1557557692.7339046
0.024,1558.0895270031613,1558089527.0031612
0.0245,1558.6084233872225,1558608423.3872225
0.025,1559.1151082031183,1559115108.2031183
0.0255,1559.6102635903565,1559610263.5903563
0.026,1560.0945302230061,1560094530.2230062
0.0265,1560.5685098550373,1560568509.8550372
0.027,1561.032767709159,1561032767.7091591
0.0275,1561.4878347187914,1561487834.7187915
0.028,1561.934209632198,1561934209.6321979
0.0285,1562.372360987261,1562372360.9872608
0.029,1562.8027289648503,1562802728.9648502
0.0295,1563.225727128259,1563225727.128259
0.03,1563.6417440557047,1563641744.0557048
0.0305,1564.0511448724837,1564051144.8724837
0.031,1564.4542726889385,1564454272.6889386
0.0315,1564.8514499500398,1564851449.9500399
0.032,1565.2429797020131,1565242979.7020133
0.0325,1565.629146781117,1565629146.781117
0.033,1566.0102189293543,1566010218.9293544
0.0335,1566.3864478416149,1566386447.841615
0.034,1566.7580701484655,1566758070.1484656
0.0345,1567.1253083385423,1567125308.3385422
0.035,1567.488371624263,1567488371.624263
0.0355,1567.8474567543428,1567847456.7543428
0.036,1568.2027487763844,1568202748.7763844
0.0365,1568.554421752617,1568554421.752617
0.037,1568.9026394316559,1568902639.431656
0.0375,1569.2475558790002,1569247555.8790002
0.038,1569.5893160687924,1569589316.0687923
0.0385,1569.9280564392334,1569928056.4392333
0.039,1570.2639054138779,1570263905.413878
0.0395,1570.5969838909168,1570596983.8909168
0.04,1570.9274057024093,1570927405.7024093
0.0405,1571.255278045314,1571255278.045314
0.041,1571.5807018860537,1571580701.8860538
0.0415,1571.9037723402407,1571903772.3402407
0.042,1572.224579029089,1572224579.029089
0.0425,1572.5432064139477,1572543206.4139476
0.043,1572.8597341103018,1572859734.1103017
0.0435,1573.1742371824987,1573174237.1824987
0.044,1573.4867864203907,1573486786.4203906
0.0445,1573.7974485990003,1573797448.5990002
0.045,1574.1062867222563,1574106286.7222562
0.0455,1574.4133602517754,1574413360.2517755
0.046,1574.718725321613,1574718725.321613
0.0465,1575.022434939842,1575022434.939842
0.047,1575.3245391777727,1575324539.1777728
0.0475,1575.6250853475694,1575625085.3475695
0.048,1575.9241181689802,1575924118.1689801
0.0485,1576.2216799258474,1576221679.9258473
0.049,1576.5178106130281,1576517810.613028
0.0495,1576.8125480743126,1576812548.0743127
0.05,1577.1059281318912,1577105928.1318913
0.0505,1577.3979847079008,1577397984.7079008
0.051,1577.6887499385186,1577688749.9385185
0.0515,1577.978254281079,1577978254.281079
0.052,1578.2665266146307,1578266526.6146307
0.0525,1578.5535943343436,1578553594.3343437
0.053,1578.83948344014,1578839483.44014
0.0535,1579.1242186199029,1579124218.6199028
0.054,1579.4078233276032,1579407823.327603
0.0545,1579.6903198566463,1579690319.8566463
0.055,1579.9717294087404,1579971729.4087405
0.0555,1580.2520721585574,1580252072.1585574
0.056,1580.531367314447,1580531367.314447
0.0565,1580.809633175443,1580809633.175443
0.057,1581.0868871847952,1581086887.1847951
0.0575,1581.3631459802323,1581363145.9802322
0.058,1581.6384254411653,1581638425.4411652
0.0585,1581.9127407330109,1581912740.7330108
0.059,1582.1861063488177,1582186106.3488176
0.0595,1582.458536148358,1582458536.148358
0.06,1582.7300433948421,1582730043.3948421
0.0605,1583.000640789397,1583000640.789397
0.061,1583.2703405034533,1583270340.5034533
0.0615,1583.539154209165,1583539154.2091649
0.062,1583.807093107978,1583807093.107978
0.0625,1584.074167957473,1584074167.957473
0.063,1584.3403890965744,1584340389.0965745
0.0635,1584.6057664692385,1584605766.4692385
0.064,1584.870309646702,1584870309.646702
0.0645,1585.1340278483901,1585134027.84839
0.065,1585.396929961558,1585396929.961558
0.0655,1585.6590245597483,1585659024.5597484
0.066,1585.920319920134,1585920319.920134
0.0665,1586.1808240398175,1586180824.0398176
0.067,1586.440544651148,1586440544.651148
0.0675,1586.6994892361186,1586699489.2361186
0.068,1586.9576650398972,1586957665.0398972
0.0685,1587.2150790835467,1587215079.0835466
0.069,1587.4717381759847,1587471738.1759846
0.0695,1587.727648925223,1587727648.925223
0.07,1587.9828177489421,1587982817.7489421
0.0705,1588.2372508844278,1588237250.8844278
0.071,1588.4909543979209,1588490954.3979208
0.0715,1588.7439341934084,1588743934.1934085
0.072,1588.9961960208948,1588996196.0208948
0.0725,1589.2477454841796,1589247745.4841797
0.073,1589.4985880481781,1589498588.0481782
0.0735,1589.748729045807,1589748729.0458071
