displacement/mm,force/kN,force/N
0.008213931,0.282924667,282.924667
0.010754799,0.187893531,187.893531
0.011404109,0.201916643,201.916643
0.012349388,0.218063983,218.06398299999998
0.013190105,0.236267987,236.267987
0.013992323,0.256051003,256.051003
0.015158167,0.277245468,277.245468
0.016245648,0.298340044,298.34004400000003
0.017064659,0.319181707,319.18170699999996
0.018082517,0.339800448,339.80044799999996
0.019136191,0.360281889,360.28188900000004
0.020177251,0.380707499,380.707499
0.021380766,0.401062617,401.062617
0.022434379,0.421060593,421.060593
0.023403586,0.440915581,440.915581
0.024318796,0.460775227,460.77522700000003
0.025313047,0.480016763,480.016763
0.026161403,0.498239632,498.239632
0.027023722,0.51593807,515.93807
0.028140321,0.53403975,534.03975
0.029399724,0.552215074,552.2150740000001
0.030248737,0.569650497,569.6504970000001
0.030773186,0.586304744,586.304744
0.031844444,0.601964229,601.964229
0.032297407,0.616736783,616.7367830000001
0.03270937,0.63105459,631.05459
0.033314622,0.644571009,644.571009
0.03411986,0.657182943,657.182943
0.0346431,0.668391334,668.3913339999999
0.035216513,0.677951713,677.951713
0.035888743,0.686856898,686.856898
0.036081031,0.694876661,694.876661
0.036392221,0.702404985,702.404985
0.036655711,0.708748715,708.7487150000001
0.036976424,0.714576488,714.5764879999999
0.037423385,0.720353896,720.353896
0.03753118,0.725882993,725.882993
0.037761478,0.730648191,730.648191
0.037922184,0.735062553,735.062553
0.038178255,0.739350178,739.350178
0.038350534,0.743336987,743.3369869999999
0.038596606,0.747072422,747.072422
0.038889241,0.75057997,750.57997
0.038388013,0.753964403,753.9644030000001
0.03888059,0.757321146,757.321146
0.03921282,0.760948467,760.9484669999999
0.03929243,0.764323065,764.323065
0.039482495,0.767623374,767.623374
0.039707596,0.770702559,770.702559
0.03983714,0.773426784,773.426784
0.040190068,0.776413434,776.4134339999999
0.040275515,0.779232469,779.232469
0.040232371,0.781778426,781.7784260000001
0.040330619,0.784559568,784.559568
0.040458613,0.787643548,787.643548
0.0406673,0.790987173,790.987173
0.040914073,0.794023859,794.023859
0.040767622,0.796938341,796.938341
0.041012876,0.799624547,799.624547
0.041361244,0.801918283,801.918283
0.041337336,0.803965425,803.965425
0.041310108,0.806157012,806.157012
0.041332464,0.808339808,808.3398080000001
0.041684636,0.810179385,810.179385
0.041852527,0.812613437,812.613437
0.042009501,0.815156855,815.1568550000001
0.04213148,0.817534391,817.534391
0.042048088,0.819629738,819.6297380000001
0.04237543,0.821756676,821.756676
0.042282421,0.823840466,823.8404660000001
0.042340154,0.825934065,825.934065
0.042904791,0.827977443,827.977443
0.042666814,0.829858009,829.8580089999999
0.042797387,0.831676598,831.676598
0.042939251,0.833401885,833.401885
0.042970112,0.835183904,835.183904
0.043062692,0.836835226,836.835226
0.043027162,0.838307317,838.307317
0.043037619,0.839803796,839.803796
0.043499162,0.841136421,841.1364209999999
0.043618211,0.842284647,842.2846470000001
0.043359249,0.843516145,843.516145
0.043397212,0.844363409,844.3634089999999
0.043632945,0.845623481,845.623481
0.043259035,0.847532904,847.532904
0.043768296,0.849109809,849.109809
0.043686713,0.850621371,850.6213710000001
0.043889378,0.852047483,852.0474829999999
0.043996983,0.853372808,853.3728080000001
0.043999411,0.854268374,854.268374
0.043933163,0.855283525,855.283525
0.04420922,0.856381882,856.381882
0.044093663,0.857567696,857.5676960000001
0.044157096,0.858772022,858.772022
0.044278482,0.860330754,860.3307540000001
0.04435896,0.861475443,861.475443
0.044491753,0.86248121,862.48121
0.044607195,0.863347148,863.3471480000001
0.044514518,0.864280172,864.280172
0.044744285,0.865236199,865.236199
0.044489367,0.866097374,866.097374
0.044722376,0.866981648,866.981648
0.044760444,0.867753925,867.753925
0.044891837,0.868812763,868.812763
0.044864065,0.869690399,869.690399
0.044839073,0.87038917,870.38917
0.044866471,0.871157464,871.157464
0.04516982,0.871941506,871.941506
0.045068712,0.872309149,872.309149
0.044975144,0.872796385,872.796385
0.044925664,0.873396738,873.3967379999999
0.045118391,0.873774946,873.774946
0.045084395,0.874229195,874.229195
0.045130694,0.874964842,874.964842
0.045265583,0.875734858,875.7348579999999
0.045186502,0.876595236,876.595236
0.045369964,0.876981124,876.9811239999999
0.0453197,0.877490365,877.490365
0.04559348,0.877703497,877.7034970000001
0.045520895,0.877687124,877.687124
0.045605296,0.877588193,877.588193
0.045412776,0.877617994,877.617994
0.045617891,0.877748956,877.748956
0.045656395,0.878019808,878.019808
0.045727675,0.878456653,878.456653
0.045606546,0.878745069,878.7450690000001
0.045630771,0.878917782,878.917782
0.045534556,0.879150563,879.150563
0.04559551,0.879247383,879.247383
0.04550543,0.879502179,879.5021790000001
0.045391726,0.879488725,879.4887249999999
0.045509133,0.87966921,879.66921
0.045363275,0.87974561,879.7456099999999
0.0457004,0.87993589,879.9358900000001
0.04574041,0.879888806,879.8888059999999
0.045691548,0.879899042,879.899042
0.045566427,0.87989727,879.8972699999999
0.045634484,0.879856355,879.856355
0.045743913,0.879741688,879.741688
0.045802025,0.879701921,879.701921
0.045777734,0.879677798,879.677798
0.045652647,0.879509422,879.5094220000001
0.045656618,0.879560611,879.560611
0.045655528,0.879892157,879.892157
0.045902281,0.880449817,880.449817
0.045960364,0.880827908,880.827908
0.045904665,0.881202018,881.202018
0.045809034,0.881356644,881.3566440000001
0.045760662,0.881191898,881.1918979999999
0.045820474,0.880805727,880.805727
0.045842685,0.880398131,880.3981309999999
0.045728832,0.880260486,880.2604859999999
0.046031421,0.880405204,880.405204
0.04597521,0.880666411,880.6664109999999
0.045748275,0.880707438,880.7074379999999
0.045789016,0.880821034,880.821034
0.045724071,0.880884103,880.884103
0.045632151,0.880627676,880.6276760000001
0.045721274,0.88066432,880.66432
0.045464457,0.880870606,880.870606
0.04565806,0.88110594,881.10594
0.045769802,0.881276297,881.276297
0.045730403,0.881615728,881.615728
0.045890003,0.881956,881.956
0.046016527,0.882158655,882.1586550000001
0.046081079,0.882357993,882.357993
0.045904731,0.882518947,882.518947
0.046140494,0.882837201,882.8372009999999
0.045848725,0.882910015,882.910015
0.045407803,0.883034893,883.034893
0.045287056,0.883232264,883.232264
0.04603122,0.883160744,883.160744
0.04612537,0.883354508,883.354508
0.045726354,0.884027932,884.027932
0.046104037,0.884468686,884.4686859999999
0.045614186,0.884790714,884.790714
0.04610434,0.884798534,884.798534
0.046132225,0.884863086,884.863086
0.046079066,0.884517132,884.5171320000001
0.046116699,0.88415538,884.15538
0.046022977,0.883715272,883.715272
0.046141622,0.883490193,883.490193
0.046288703,0.883479614,883.479614
0.046212709,0.883380082,883.3800819999999
0.045613416,0.883669953,883.669953
0.046173876,0.883690959,883.690959
0.045526862,0.883458992,883.458992
0.045590423,0.883289918,883.2899180000001
0.045802357,0.883331803,883.331803
0.046068229,0.883500471,883.500471
0.04608996,0.883523533,883.5235329999999
0.04601509,0.883408159,883.4081590000001
0.045778579,0.883365474,883.365474
0.045798665,0.883390695,883.390695
0.046030609,0.883372673,883.372673
0.046235127,0.883131702,883.131702
0.046202816,0.882954056,882.954056
0.046090511,0.882732113,882.732113
0.046109107,0.882365522,882.3655219999999
0.045852781,0.882039253,882.0392529999999
0.045994483,0.881666023,881.666023
0.045911735,0.881284696,881.284696
0.045993732,0.88086455,880.86455
0.045548118,0.88088382,880.88382
0.045840194,0.880702144,880.702144
0.045504923,0.880273511,880.273511
0.045911671,0.879631026,879.631026
0.045640394,0.878798792,878.798792
0.045455401,0.877788177,877.788177
0.045946345,0.8765617,876.5617
0.045635451,0.875465732,875.465732
0.045729511,0.874544472,874.5444719999999
0.045646495,0.873645517,873.645517
0.045814458,0.872852093,872.852093
0.04563247,0.871897285,871.897285
0.045593122,0.870967121,870.9671209999999
0.045234716,0.869792702,869.7927020000001
0.045874894,0.868360796,868.360796
0.045355056,0.866990332,866.990332
0.04516004,0.865558324,865.558324
0.045352192,0.863993978,863.993978
0.045167984,0.86227814,862.27814
0.045034083,0.860699285,860.699285
0.044930863,0.85913728,859.13728
0.044951237,0.85699131,856.99131
0.044790837,0.854931615,854.9316150000001
0.044653301,0.852992002,852.9920020000001
0.044375894,0.851173991,851.173991
0.044282207,0.849205261,849.2052610000001
0.044081651,0.847456994,847.456994
0.043985313,0.845936971,845.936971
0.043941205,0.844135641,844.1356410000001
0.044207969,0.842458443,842.458443
0.044374718,0.841359321,841.359321
0.044146423,0.840379217,840.3792169999999
0.043753742,0.839085518,839.085518
0.043766858,0.837719264,837.719264
0.043797507,0.836087245,836.0872449999999
0.043808457,0.83396539,833.9653900000001
0.043730105,0.831560255,831.560255
0.043724788,0.829067106,829.067106
0.043775121,0.82692261,826.92261
0.04384076,0.82528966,825.28966
0.043699342,0.823534703,823.534703
0.043720148,0.821867522,821.867522
0.043361136,0.820161185,820.161185
0.04287768,0.818165282,818.165282
0.042931938,0.81613768,816.1376799999999
0.042813253,0.814726836,814.7268359999999
0.042835411,0.813380769,813.380769
0.042874828,0.811977105,811.9771049999999
0.042874866,0.810775466,810.7754659999999
0.042839452,0.809800176,809.800176
