
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03         1.11364E+03
              200.006E-06         62.0038E-03         1.55712E+03
              300.006E-06         92.9936E-03         1.75718E+03
              400.008E-06        124.01E-03           1.9267E+03 
              500.006E-06        155.041E-03          1.99785E+03
              600.007E-06        186.017E-03          2.04171E+03
              700.008E-06        216.993E-03          2.0753E+03 
              800.009E-06        247.969E-03          2.10221E+03
              900.009E-06        278.897E-03          2.12294E+03
                1.00001E-03      309.823E-03          2.14438E+03
                1.10001E-03      340.748E-03          2.16148E+03
                1.20001E-03      371.673E-03          2.17739E+03
                1.30001E-03      402.598E-03          2.19311E+03
                1.40001E-03      433.523E-03          2.20724E+03
                1.50001E-03      464.448E-03          2.22002E+03
                1.6E-03          495.368E-03          2.23195E+03
                1.7E-03          526.293E-03          2.24329E+03
                1.8E-03          557.218E-03          2.25404E+03
                1.9E-03          588.143E-03          2.26428E+03
                2.E-03           619.185E-03          2.27404E+03
                2.10001E-03      650.362E-03          2.28334E+03
                2.20001E-03      681.535E-03          2.2922E+03 
                2.3E-03          712.708E-03          2.30064E+03
                2.40001E-03      743.885E-03          2.3087E+03 
                2.50001E-03      775.057E-03          2.31642E+03
                2.6E-03          806.23E-03           2.3238E+03 
                2.70001E-03      837.407E-03          2.33089E+03
                2.8E-03          868.579E-03          2.33769E+03
                2.90001E-03      899.756E-03          2.34423E+03
                3.00001E-03      930.929E-03          2.35054E+03
                3.1E-03          962.101E-03          2.35659E+03
                3.20001E-03      993.278E-03          2.36242E+03
                3.30001E-03        1.02459            2.36805E+03
                3.4E-03            1.05597            2.37348E+03
                3.50001E-03        1.08735            2.37871E+03
                3.60001E-03        1.11873            2.38378E+03
                3.7E-03            1.15011            2.38865E+03
                3.80001E-03        1.18149            2.39336E+03
                3.9E-03            1.21287            2.39789E+03
                4.00001E-03        1.24392            2.40229E+03
                4.10001E-03        1.27489            2.40651E+03
                4.2E-03            1.30586            2.4106E+03 
                4.30001E-03        1.33683            2.41453E+03
                4.40001E-03        1.36779            2.41833E+03
                4.5E-03            1.39876            2.42199E+03
                4.60001E-03        1.42973            2.42551E+03
                4.70001E-03        1.4607             2.42891E+03
                4.8E-03            1.49166            2.43218E+03
                4.90001E-03        1.52263            2.43533E+03
                5.E-03             1.5536             2.43836E+03
                5.10001E-03        1.58428            2.44129E+03
                5.20001E-03        1.61483            2.44409E+03
                5.3E-03            1.64538            2.4468E+03 
                5.40001E-03        1.67594            2.4494E+03 
                5.50001E-03        1.70649            2.45189E+03
                5.60001E-03        1.73705            2.45429E+03
                5.7E-03            1.76862            2.45666E+03
                5.8E-03            1.8002             2.45893E+03
                5.90001E-03        1.83177            2.4611E+03 
                6.00001E-03        1.86296            2.46318E+03
                6.1E-03            1.89411            2.46515E+03
                6.20001E-03        1.92526            2.46704E+03
                6.30001E-03        1.9564             2.46882E+03
                6.40001E-03        1.98755            2.47051E+03
                6.5E-03            2.01854            2.47211E+03
                6.60001E-03        2.04926            2.47363E+03
                6.70001E-03        2.07998            2.47505E+03
                6.8E-03            2.1107             2.47639E+03
                6.9E-03            2.14142            2.47765E+03
                7.00001E-03        2.17214            2.47881E+03
                7.10001E-03        2.20286            2.4799E+03 
                7.2E-03            2.23358            2.4809E+03 
                7.30001E-03        2.2643             2.48181E+03
                7.40001E-03        2.29502            2.48265E+03
                7.50001E-03        2.32576            2.48341E+03
                7.60001E-03        2.35754            2.48409E+03
                7.70001E-03        2.38932            2.4847E+03 
                7.80001E-03        2.42106            2.48521E+03
                7.9E-03            2.45105            2.48562E+03
                8.E-03             2.48092            2.48594E+03
                8.10001E-03        2.51079            2.48617E+03
                8.20001E-03        2.54066            2.48633E+03
                8.3E-03            2.57065            2.48641E+03
                8.40001E-03        2.60265            2.4864E+03 
                8.5E-03            2.63465            2.48627E+03
                8.60001E-03        2.66665            2.48606E+03
                8.7E-03            2.69865            2.48573E+03
                8.80001E-03        2.73065            2.48531E+03
                8.90001E-03        2.76265            2.48479E+03
                9.E-03             2.79442            2.48416E+03
                9.10001E-03        2.82551            2.48343E+03
                9.2E-03            2.85659            2.48259E+03
                9.30001E-03        2.88768            2.48167E+03
                9.40001E-03        2.91877            2.48062E+03
                9.5E-03            2.94985            2.47948E+03
                9.60001E-03        2.98094            2.47823E+03
                9.7E-03            3.01202            2.47685E+03
                9.80001E-03        3.04311            2.47533E+03
                9.9E-03            3.07419            2.4737E+03 
               10.E-03             3.10528            2.47193E+03




