"strain,-","stress,MPa","stress,Pa"
0.0,509.26139787605956,509261397.87605953
0.002,774.9800668194159,774980066.8194159
0.004,886.8362284016737,886836228.4016737
0.006,934.6556208787315,934655620.8787315
0.008,955.8135493127884,955813549.3127884
0.01,965.861694013302,965861694.013302
0.012,971.2713259346407,971271325.9346406
0.014,974.7355101559158,974735510.1559157
0.016,977.3752503209199,977375250.3209199
0.018,979.6574235894147,979657423.5894147
0.02,981.7767167968509,981776716.7968509
0.022,983.8145439289892,983814543.9289892
0.024,985.8051697964913,985805169.7964914
0.026,987.7632239359295,987763223.9359295
0.028,989.6951496551228,989695149.6551228
0.03,991.6039687282496,991603968.7282495
0.032,993.4912647919234,993491264.7919234
0.034,995.3580094315639,995358009.431564
0.036,997.2049066738659,997204906.6738659
0.038,999.0325370426126,999032537.0426126
0.04,1000.8414181664843,1000841418.1664844
0.042,1002.6320306197481,1002632030.6197481
0.044,1004.4048292547689,1004404829.2547688
0.046,1006.1602484591263,1006160248.4591262
0.048,1007.8987048491528,1007898704.8491528
0.05,1009.6205988639124,1009620598.8639123
0.052,1011.3263158713298,1011326315.8713298
0.054,1013.0162270433163,1013016227.0433164
0.056,1014.6906901088885,1014690690.1088885
0.058,1016.3500500325586,1016350050.0325586
0.06,1017.994639639446,1017994639.6394459
0.062,1019.6247801976396,1019624780.1976396
0.064,1021.2407819636801,1021240781.9636801
0.066,1022.8429446949563,1022842944.6949563
0.068,1024.4315581318392,1024431558.1318392
0.07,1026.0069024518712,1026006902.4518712
0.072,1027.5692486980251,1027569248.6980251
0.074,1029.1188591828425,1029118859.1828425
0.076,1030.6559878700846,1030655987.8700845
0.078,1032.1808807354134,1032180880.7354134
0.08,1033.693776107481,1033693776.107481
0.082,1035.1949049907025,1035194904.9907025
0.084,1036.6844913709,1036684491.3709002
0.086,1038.162752504905,1038162752.504905
0.088,1039.6298991951285,1039629899.1951284
0.09,1041.0861360500398,1041086136.0500399
0.092,1042.531661731418,1042531661.7314179
0.094,1043.9666691891844,1043966669.1891843
0.096,1045.3913458845677,1045391345.8845677
0.098,1046.805874002292,1046805874.002292
0.1,1048.210430652443,1048210430.6524429
0.102,1049.6051880626087,1049605188.0626087
0.104,1050.9903137608662,1050990313.7608663
0.106,1052.3659707501283,1052365970.7501283
0.108,1053.732317674349,1053732317.674349
0.11,1055.0895089770393,1055089508.9770392
0.112,1056.4376950525243,1056437695.0525243
0.114,1057.777022390338,1057777022.3903381
0.116,1059.1076337131333,1059107633.7131333
0.118,1060.4296681084538,1060429668.1084539
0.12,1061.7432611547006,1061743261.1547005
0.122,1063.0485450415945,1063048545.0415945
