
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03         1.11364E+03
              200.006E-06         62.0038E-03         2.24424E+03
              300.006E-06         92.9936E-03         3.42934E+03
              400.001E-06        124.006E-03          4.39985E+03
              500.014E-06        155.041E-03          5.63424E+03
              600.E-06           186.012E-03          6.66759E+03
              700.001E-06        216.989E-03          7.86267E+03
              800.002E-06        247.923E-03          8.90911E+03
              900.003E-06        278.848E-03          9.40721E+03
                1.E-03           309.773E-03          9.78465E+03
                1.1E-03          340.699E-03          9.91793E+03
                1.2E-03          371.624E-03          9.92688E+03
                1.30001E-03      402.549E-03          9.89235E+03
                1.40001E-03      433.474E-03          9.85282E+03
                1.50001E-03      464.399E-03          9.81107E+03
                1.60001E-03      495.324E-03          9.76579E+03
                1.70001E-03      526.249E-03          9.71807E+03
                1.80001E-03      557.174E-03          9.65956E+03
                1.90001E-03      588.099E-03          9.6029E+03 
                2.00001E-03      619.141E-03          9.5354E+03 
                2.10001E-03      650.313E-03          9.4684E+03 
                2.2E-03          681.486E-03          9.39224E+03
                2.30001E-03      712.663E-03          9.31617E+03
                2.4E-03          743.836E-03          9.23315E+03
                2.50001E-03      775.013E-03          9.14797E+03
                2.60001E-03      806.185E-03          9.05906E+03
                2.7E-03          837.358E-03          8.96498E+03
                2.80001E-03      868.535E-03          8.8701E+03 
                2.90001E-03      899.707E-03          8.7667E+03 
                3.E-03           930.88E-03           8.66391E+03
                3.10001E-03      962.057E-03          8.55284E+03
                3.20001E-03      993.229E-03          8.44073E+03
                3.3E-03            1.02453            8.32352E+03
                3.40001E-03        1.05539            6.06812E+03
                3.5E-03            1.08655            6.22795E+03
                3.60001E-03        1.11744            7.64861E+03
                3.7E-03            1.14847            8.22361E+03
                3.80001E-03        1.17941            7.93768E+03
                3.9E-03            1.21039            7.62574E+03
                4.E-03             1.24153            7.59824E+03
                4.10001E-03        1.27219            7.54258E+03
                4.20001E-03        1.30361            7.28568E+03
                4.3E-03            1.33503            7.13753E+03
                4.4E-03            1.36611            7.00243E+03
                4.5E-03            1.39716            6.83566E+03
                4.6E-03            1.42819            6.71227E+03
                4.7E-03            1.45899            6.55522E+03
                4.8E-03            1.49023            6.42898E+03
                4.9E-03            1.52082            6.34579E+03
                5.00001E-03        1.5522             6.16194E+03
                5.1E-03            1.58306            6.08057E+03
                5.20001E-03        1.6142             5.96853E+03
                5.3E-03            1.64525            5.84231E+03
                5.4E-03            1.67584            5.7381E+03 
                5.5E-03            1.70731            5.63534E+03
                5.6E-03            1.73818            5.54302E+03
                5.70001E-03        1.76889            5.45045E+03
                5.8E-03            1.80029            5.33727E+03
                5.9E-03            1.83116            5.25811E+03
                6.E-03             1.86179            5.19313E+03
                6.10001E-03        1.89332            5.12375E+03
                6.2E-03            1.92429            5.03778E+03
                6.3E-03            1.95486            4.97662E+03
                6.4E-03            1.986              4.92114E+03
                6.5E-03            2.01735            4.85324E+03
                6.6E-03            2.04842            4.79487E+03
                6.7E-03            2.07907            4.74252E+03
                6.8E-03            2.10987            4.69119E+03
                6.9E-03            2.14063            4.66361E+03
                7.E-03             2.17089            4.6632E+03 
                7.1E-03            2.2038             4.65075E+03
                7.2E-03            2.23513            4.6355E+03 
                7.3E-03            2.26585            4.63361E+03
                7.4E-03            2.29657            4.61513E+03
                7.5E-03            2.32729            4.58968E+03
                7.6E-03            2.35801            4.58719E+03
                7.7E-03            2.38873            4.5666E+03 
                7.8E-03            2.41952            4.56956E+03
                7.9E-03            2.44813            4.52608E+03
                8.E-03             2.47629            4.49636E+03
                8.1E-03            2.50445            4.49241E+03
                8.2E-03            2.53261            4.4527E+03 
                8.3E-03            2.56092            4.44782E+03
                8.4E-03            2.59512            4.40939E+03
                8.5E-03            2.63032            4.3998E+03 
                8.6E-03            2.66535            4.35408E+03
                8.7E-03            2.69759            4.3503E+03 
                8.8E-03            2.72959            4.31767E+03
                8.9E-03            2.76159            4.27421E+03
                9.E-03             2.79359            4.25052E+03
                9.1E-03            2.82559            4.22552E+03
                9.2E-03            2.85759            4.18347E+03
                9.3E-03            2.88959            4.16929E+03
                9.4E-03            2.92141            4.15261E+03
                9.5E-03            2.95087            4.13555E+03
                9.6E-03            2.97968            4.10683E+03
                9.7E-03            3.00848            4.10307E+03
                9.8E-03            3.03728            4.07447E+03
                9.9E-03            3.06608            4.04086E+03
               10.E-03             3.09488            4.02905E+03




