"strain,-","stress,MPa","stress,Pa"
0.0,1147.3069310619503,1147306931.0619502
0.0005,1179.396831155581,1179396831.155581
0.001,1204.896082583425,1204896082.5834248
0.0015,1225.1594238014452,1225159423.8014452
0.002,1241.263119868519,1241263119.868519
0.0025,1254.0622040764945,1254062204.0764945
0.003,1264.2359532705918,1264235953.2705917
0.0035,1272.3240154852392,1272324015.4852393
0.004,1278.7551113596905,1278755111.3596904
0.0045,1283.8698358309566,1283869835.8309567
0.005,1287.9387728221966,1287938772.8221965
0.0055,1291.1768863643197,1291176886.3643196
0.006,1293.754953548978,1293754953.5489779
0.0065,1295.8086473796347,1295808647.3796349
0.007,1297.445752596168,1297445752.596168
0.0075,1298.7518982498434,1298751898.2498434
0.008,1299.7951119182028,1299795111.9182029
0.0085,1300.6294377778033,1300629437.7778034
0.009,1301.2978109636124,1301297810.9636123
0.0095,1301.8343410891398,1301834341.0891397
0.01,1302.2661263773364,1302266126.3773363
0.0105,1302.6146948876124,1302614694.8876123
0.011,1302.8971494912832,1302897149.4912832
0.0115,1303.1270774914542,1303127077.4914541
0.012,1303.3152732658962,1303315273.265896
0.0125,1303.4703123669847,1303470312.3669846
0.013,1303.5990076124617,1303599007.6124618
0.0135,1303.7067714244154,1303706771.4244153
0.014,1303.7979036876297,1303797903.6876297
0.0145,1303.875820437182,1303875820.437182
0.015,1303.943235538138,1303943235.538138
0.0155,1304.0023050200566,1304002305.0200567
0.016,1304.0547417428047,1304054741.7428048
0.0165,1304.1019064922257,1304101906.4922256
0.017,1304.144880350633,1304144880.350633
0.0175,1304.184522191177,1304184522.191177
0.018,1304.2215143539547,1304221514.3539548
0.0185,1304.2563989331632,1304256398.9331632
0.019,1304.289606605244,1304289606.605244
0.0195,1304.3214795312574,1304321479.5312574
0.02,1304.3522895515569,1304352289.5515568
0.0205,1304.3822526404592,1304382252.6404593
0.021,1304.4115403896817,1304411540.3896818
0.0215,1304.440289131304,1304440289.131304
0.022,1304.4686071854594,1304468607.1854594
0.0225,1304.496580618226,1304496580.618226
0.023,1304.5242778159588,1304524277.8159587
0.0235,1304.5517531193407,1304551753.1193407
0.024,1304.579049710443,1304579049.710443
0.0245,1304.6062019063322,1304606201.9063323
0.025,1304.633236981219,1304633236.981219
0.0255,1304.6601766140532,1304660176.6140532
0.026,1304.6870380385635,1304687038.0385635
0.0265,1304.7138349568977,1304713834.9568977
0.027,1304.740578265464,1304740578.2654638
0.0275,1304.7672766315713,1304767276.6315713
0.028,1304.7939369515407,1304793936.9515407
0.0285,1304.8205647146476,1304820564.7146475
0.029,1304.8471642922614,1304847164.2922614
0.0295,1304.8737391675436,1304873739.1675436
0.03,1304.9002921179397,1304900292.1179397
0.0305,1304.9268253601551,1304926825.360155
0.031,1304.9533406653302,1304953340.6653302
0.0315,1304.9798394505488,1304979839.4505486
0.032,1305.0063228515285,1305006322.8515284
0.0325,1305.0327917803775,1305032791.7803774
0.033,1305.0592469714766,1305059246.9714766
0.0335,1305.0856890179307,1305085689.0179307
0.034,1305.112118400531,1305112118.400531
0.0345,1305.138535510762,1305138535.510762
0.035,1305.1649406690826,1305164940.6690826
0.0355,1305.1913341394481,1305191334.1394482
0.036,1305.2177161408501,1305217716.14085
0.0365,1305.2440868564836,1305244086.8564837
0.037,1305.270446441032,1305270446.441032
0.0375,1305.2967950264542,1305296795.0264542
0.038,1305.3231327265844,1305323132.7265844
0.0385,1305.3494596407859,1305349459.640786
0.039,1305.3757758568552,1305375775.8568552
0.0395,1305.40208145333,1305402081.45333
0.04,1305.4283765013238,1305428376.5013237
0.0405,1305.4546610659845,1305454661.0659845
0.041,1305.4809352076516,1305480935.2076516
0.0415,1305.5071989827804,1305507198.9827805
0.042,1305.533452444673,1305533452.444673
0.0425,1305.559695644062,1305559695.644062
0.043,1305.5859286295747,1305585928.6295748
0.0435,1305.6121514481024,1305612151.4481025
0.044,1305.6383641450939,1305638364.145094
0.0445,1305.6645667647895,1305664566.7647896
0.045,1305.6907593504102,1305690759.3504102
0.0455,1305.7169419443035,1305716941.9443035
0.046,1305.7431145880648,1305743114.588065
0.0465,1305.7692773226327,1305769277.3226326
0.047,1305.7954301883642,1305795430.1883643
0.0475,1305.8215732250965,1305821573.2250965
0.048,1305.847706472197,1305847706.4721968
0.0485,1305.8738299686017,1305873829.9686017
0.049,1305.89994375285,1305899943.75285
0.0495,1305.9260478631074,1305926047.8631074
0.05,1305.9521423371905,1305952142.3371904
0.0505,1305.9782272125813,1305978227.2125812
0.051,1306.0043025264447,1306004302.5264447
0.0515,1306.0303683156387,1306030368.3156388
0.052,1306.0564246167264,1306056424.6167264
0.0525,1306.0824714659818,1306082471.4659817
0.053,1306.108508899401,1306108508.899401
0.0535,1306.1345369527048,1306134536.952705
0.054,1306.1605556613476,1306160555.6613476
0.0545,1306.1865650605207,1306186565.0605206
0.055,1306.212565185157,1306212565.185157
0.0555,1306.2385560699354,1306238556.0699353
0.056,1306.2645377492843,1306264537.7492843
0.0565,1306.290510257386,1306290510.257386
0.057,1306.3164736281778,1306316473.628178
0.0575,1306.342427895358,1306342427.895358
0.058,1306.368373092386,1306368373.092386
0.0585,1306.3943092524873,1306394309.2524874
0.059,1306.4202364086545,1306420236.4086545
0.0595,1306.4461545936517,1306446154.5936518
0.06,1306.4720638400147,1306472063.8400147
0.0605,1306.4979641800558,1306497964.1800559
0.061,1306.5238556458648,1306523855.6458647
0.0615,1306.5497382693109,1306549738.269311
0.062,1306.575612082047,1306575612.082047
0.0625,1306.6014771155096,1306601477.1155095
0.063,1306.6273334009227,1306627333.4009228
0.0635,1306.6531809692992,1306653180.9692993
0.064,1306.6790198514423,1306679019.8514423
0.0645,1306.70485007795,1306704850.07795
0.065,1306.7306716792139,1306730671.6792138
0.0655,1306.7564846854243,1306756484.6854243
0.066,1306.7822891265698,1306782289.1265697
0.0665,1306.8080850324413,1306808085.0324414
0.067,1306.8338724326313,1306833872.4326313
0.0675,1306.8596513565392,1306859651.3565392
0.068,1306.8854218333706,1306885421.8333707
0.0685,1306.91118389214,1306911183.89214
0.069,1306.9369375616723,1306936937.5616722
0.0695,1306.9626828706057,1306962682.8706057
0.07,1306.9884198473924,1306988419.8473923
0.0705,1307.0141485203008,1307014148.5203009
0.071,1307.0398689174167,1307039868.9174168
0.0715,1307.065581066646,1307065581.066646
0.072,1307.0912849957158,1307091284.9957159
0.0725,1307.1169807321762,1307116980.7321763
0.073,1307.1426683034017,1307142668.3034017
0.0735,1307.1683477365934,1307168347.7365935
0.074,1307.19401905878,1307194019.05878
0.0745,1307.21968229682,1307219682.2968202
0.075,1307.2453374774032,1307245337.4774032
0.0755,1307.270984627051,1307270984.6270509
0.076,1307.2966237721198,1307296623.7721198
0.0765,1307.3222549388022,1307322254.9388022
0.077,1307.3478781531269,1307347878.153127
0.0775,1307.373493440962,1307373493.440962
0.078,1307.399100828016,1307399100.8280158
0.0785,1307.424700339838,1307424700.339838
0.079,1307.4502920018213,1307450292.0018213
0.0795,1307.4758758392031,1307475875.8392031
0.08,1307.5014518770668,1307501451.8770669
0.0805,1307.5270201403425,1307527020.1403425
0.081,1307.5525806538099,1307552580.6538098
0.0815,1307.5781334420974,1307578133.4420974
0.082,1307.603678529686,1307603678.529686
0.0825,1307.6292159409086,1307629215.9409087
0.083,1307.6547456999522,1307654745.6999521
0.0835,1307.6802678308593,1307680267.8308592
0.084,1307.7057823575285,1307705782.3575284
0.0845,1307.7312893037163,1307731289.3037162
0.085,1307.7567886930385,1307756788.6930385
0.0855,1307.7822805489707,1307782280.5489707
0.086,1307.8077648948506,1307807764.8948505
0.0865,1307.8332417538777,1307833241.7538776
0.087,1307.8587111491163,1307858711.1491163
0.0875,1307.884173103495,1307884173.103495
0.088,1307.9096276398088,1307909627.639809
0.0885,1307.9350747807202,1307935074.7807202
0.089,1307.9605145487603,1307960514.5487604
0.0895,1307.9859469663295,1307985946.9663296
0.09,1308.0113720556988,1308011372.0556989
0.0905,1308.0367898390111,1308036789.8390112
0.091,1308.0622003382828,1308062200.3382828
0.0915,1308.0876035754034,1308087603.5754035
0.092,1308.1129995721378,1308112999.5721378
0.0925,1308.1383883501273,1308138388.3501275
0.093,1308.1637699308897,1308163769.9308896
0.0935,1308.1891443358213,1308189144.3358214
0.094,1308.2145115861977,1308214511.5861976
0.0945,1308.239871703174,1308239871.703174
0.095,1308.2652247077874,1308265224.7077875
0.0955,1308.2905706209567,1308290570.6209567
0.096,1308.3159094634836,1308315909.4634836
0.0965,1308.3412412560542,1308341241.2560542
0.097,1308.3665660192398,1308366566.01924
0.0975,1308.3918837734973,1308391883.7734973
0.098,1308.4171945391704,1308417194.5391705
0.0985,1308.442498336491,1308442498.336491
0.099,1308.4677951855797,1308467795.1855798
0.0995,1308.4930851064462,1308493085.1064463
0.1,1308.5183681189915,1308518368.1189914
0.1005,1308.543644243007,1308543644.2430072
0.101,1308.5689134981776,1308568913.4981775
0.1015,1308.5941759040802,1308594175.9040802
0.102,1308.6194314801864,1308619431.4801865
0.1025,1308.6446802458622,1308644680.2458622
0.103,1308.6699222203695,1308669922.2203696
0.1035,1308.6951574228665,1308695157.4228666
0.104,1308.720385872409,1308720385.872409
0.1045,1308.7456075879509,1308745607.587951
0.105,1308.7708225883446,1308770822.5883446
0.1055,1308.7960308923423,1308796030.8923423
0.106,1308.8212325185973,1308821232.5185974
0.1065,1308.8464274856638,1308846427.4856637
0.107,1308.8716158119976,1308871615.8119977
0.1075,1308.8967975159578,1308896797.5159578
0.108,1308.9219726158074,1308921972.6158073
0.1085,1308.9471411297127,1308947141.1297126
0.109,1308.9723030757457,1308972303.0757456
0.1095,1308.9974584718843,1308997458.4718843
0.11,1309.0226073360127,1309022607.3360126
0.1105,1309.047749685922,1309047749.6859221
0.111,1309.0728855393118,1309072885.5393116
0.1115,1309.0980149137897,1309098014.9137897
0.112,1309.123137826873,1309123137.826873
0.1125,1309.1482542959893,1309148254.2959893
0.113,1309.173364338476,1309173364.338476
0.1135,1309.1984679715827,1309198467.9715827
0.114,1309.2235652124705,1309223565.2124705
0.1145,1309.2486560782133,1309248656.0782135
0.115,1309.2737405857988,1309273740.5857987
0.1155,1309.298818752128,1309298818.752128
0.116,1309.3238905940166,1309323890.5940166
0.1165,1309.3489561281963,1309348956.1281962
0.117,1309.3740153713136,1309374015.3713136
0.1175,1309.3990683399325,1309399068.3399324
0.118,1309.4241150505334,1309424115.0505333
0.1185,1309.4491555195148,1309449155.5195148
0.119,1309.4741897631934,1309474189.7631934
0.1195,1309.4992177978052,1309499217.797805
0.12,1309.5242396395051,1309524239.6395051
0.1205,1309.5492553043684,1309549255.3043685
0.121,1309.5742648083917,1309574264.8083918
0.1215,1309.5992681674918,1309599268.167492
0.122,1309.6242653975078,1309624265.3975077
0.1225,1309.6492565142016,1309649256.5142016
0.123,1309.6742415332578,1309674241.5332577
0.1235,1309.6992204702842,1309699220.4702842
0.124,1309.724193340813,1309724193.340813
0.1245,1309.749160160301,1309749160.160301
0.125,1309.77412094413,1309774120.94413
0.1255,1309.7990757076077,1309799075.7076077
0.126,1309.824024465968,1309824024.4659681
0.1265,1309.8489672343715,1309848967.2343714
0.127,1309.8739040279056,1309873904.0279057
0.1275,1309.8988348615862,1309898834.8615863
0.128,1309.9237597503572,1309923759.7503572
0.1285,1309.9486787090912,1309948678.7090912
0.129,1309.97359175259,1309973591.75259
0.1295,1309.9984988955853,1309998498.8955853
0.13,1310.0234001527392,1310023400.1527393
0.1305,1310.0482955386442,1310048295.5386443
0.131,1310.0731850678246,1310073185.0678246
0.1315,1310.098068754736,1310098068.754736
0.132,1310.1229466137659,1310122946.613766
0.1325,1310.1478186592353,1310147818.6592352
0.133,1310.1726849053975,1310172684.9053977
0.1335,1310.1975453664397,1310197545.3664398
0.134,1310.2224000564834,1310222400.0564833
0.1345,1310.2472489895843,1310247248.9895842
0.135,1310.2720921797327,1310272092.1797328
0.1355,1310.2969296408548,1310296929.6408548
0.136,1310.3217613868126,1310321761.3868127
0.1365,1310.3465874314043,1310346587.4314044
0.137,1310.3714077883642,1310371407.7883642
0.1375,1310.3962224713644,1310396222.4713643
0.138,1310.4210314940144,1310421031.4940145
0.1385,1310.4458348698618,1310445834.8698618
0.139,1310.4706326123917,1310470632.6123917
0.1395,1310.4954247350292,1310495424.7350292
0.14,1310.5202112511379,1310520211.251138
0.1405,1310.5449921740208,1310544992.1740208
0.141,1310.5697675169213,1310569767.5169213
0.1415,1310.5945372930234,1310594537.2930233
0.142,1310.6193015154513,1310619301.5154512
0.1425,1310.6440601972708,1310644060.1972709
0.143,1310.6688133514892,1310668813.3514893
0.1435,1310.6935609910554,1310693560.9910555
0.144,1310.7183031288614,1310718303.1288614
0.1445,1310.743039777741,1310743039.777741
0.145,1310.7677709504717,1310767770.9504716
0.1455,1310.7924966597743,1310792496.6597743
0.146,1310.8172169183138,1310817216.9183137
0.1465,1310.8419317386983,1310841931.7386982
0.147,1310.8666411334816,1310866641.1334815
0.1475,1310.891345115162,1310891345.1151621
0.148,1310.9160436961831,1310916043.6961832
0.1485,1310.940736888934,1310940736.888934
0.149,1310.9654247057497,1310965424.7057498
0.1495,1310.9901071589118,1310990107.1589117
0.15,1311.0147842606486,1311014784.2606487
0.1505,1311.039456023135,1311039456.023135
0.151,1311.0641224584938,1311064122.4584937
0.1515,1311.0887835787948,1311088783.578795
0.152,1311.1134393960565,1311113439.3960564
0.1525,1311.1380899222452,1311138089.9222453
0.153,1311.1627351692762,1311162735.1692762
0.1535,1311.1873751490134,1311187375.1490135
0.154,1311.2120098732707,1311212009.8732708
0.1545,1311.2366393538111,1311236639.353811
0.155,1311.2612636023475,1311261263.6023476
0.1555,1311.2858826305435,1311285882.6305435
0.156,1311.3104964500128,1311310496.450013
0.1565,1311.3351050723202,1311335105.0723202
0.157,1311.3597085089816,1311359708.5089817
0.1575,1311.3843067714645,1311384306.7714646
0.158,1311.4088998711882,1311408899.8711882
0.1585,1311.433487819524,1311433487.819524
0.159,1311.458070627796,1311458070.627796
0.1595,1311.4826483072798,1311482648.3072798
0.16,1311.5072208692054,1311507220.8692055
0.1605,1311.531788324755,1311531788.3247552
0.161,1311.5563506850654,1311556350.6850653
0.1615,1311.5809079612259,1311580907.961226
0.162,1311.605460164281,1311605460.1642811
0.1625,1311.6300073052291,1311630007.3052292
0.163,1311.6545493950234,1311654549.3950233
0.1635,1311.6790864445718,1311679086.4445717
0.164,1311.703618464738,1311703618.464738
0.1645,1311.7281454663403,1311728145.4663403
0.165,1311.7526674601538,1311752667.4601538
0.1655,1311.7771844569088,1311777184.4569087
0.166,1311.8016964672922,1311801696.4672923
0.1665,1311.8262035019472,1311826203.5019472
0.167,1311.8507055714745,1311850705.5714746
0.1675,1311.875202686431,1311875202.6864312
0.168,1311.8996948573315,1311899694.8573315
0.1685,1311.9241820946481,1311924182.0946481
0.169,1311.9486644088108,1311948664.4088109
0.1695,1311.9731418102076,1311973141.8102076
0.17,1311.997614309185,1311997614.309185
0.1705,1312.0220819160484,1312022081.9160483
0.171,1312.0465446410608,1312046544.6410608
0.1715,1312.0710024944456,1312071002.4944456
0.172,1312.0954554863847,1312095455.4863846
0.1725,1312.11990362702,1312119903.62702
0.173,1312.144346926453,1312144346.9264529
0.1735,1312.1687853947449,1312168785.3947449
0.174,1312.1932190419175,1312193219.0419176
0.1745,1312.2176478779531,1312217647.877953
0.175,1312.2420719127947,1312242071.9127946
0.1755,1312.2664911563459,1312266491.1563458
0.176,1312.2909056184717,1312290905.6184716
0.1765,1312.3153153089986,1312315315.3089986
0.177,1312.3397202377143,1312339720.2377143
0.1775,1312.364120414369,1312364120.4143689
0.178,1312.3885158486742,1312388515.848674
0.1785,1312.4129065503041,1312412906.5503042
0.179,1312.4372925288951,1312437292.5288951
0.1795,1312.4616737940469,1312461673.7940469
0.18,1312.4860503553211,1312486050.3553212
0.1805,1312.5104222222435,1312510422.2222435
0.181,1312.5347894043025,1312534789.4043026
0.1815,1312.55915191095,1312559151.91095
0.182,1312.5835097516024,1312583509.7516024
0.1825,1312.6078629356389,1312607862.935639
0.183,1312.632211472404,1312632211.472404
0.1835,1312.6565553712055,1312656555.3712056
0.184,1312.6808946413166,1312680894.6413167
0.1845,1312.705229291975,1312705229.291975
0.185,1312.7295593323831,1312729559.3323832
0.1855,1312.7538847717085,1312753884.7717085
0.186,1312.7782056190845,1312778205.6190844
0.1865,1312.8025218836094,1312802521.8836095
0.187,1312.8268335743476,1312826833.5743475
0.1875,1312.8511407003293,1312851140.7003293
0.188,1312.8754432705507,1312875443.2705507
0.1885,1312.8997412939746,1312899741.2939746
0.189,1312.9240347795298,1312924034.7795298
0.1895,1312.9483237361121,1312948323.736112
0.19,1312.972608172584,1312972608.1725838
0.1905,1312.996888097775,1312996888.097775
0.191,1313.021163520482,1313021163.520482
0.1915,1313.0454344494692,1313045434.4494693
0.192,1313.0697008934683,1313069700.8934684
0.1925,1313.0939628611786,1313093962.8611786
0.193,1313.1182203612675,1313118220.3612676
0.1935,1313.1424734023706,1313142473.4023705
0.194,1313.1667219930914,1313166721.9930913
0.1945,1313.1909661420023,1313190966.1420023
0.195,1313.2152058576437,1313215205.8576436
0.1955,1313.2394411485254,1313239441.1485255
0.196,1313.2636720231258,1313263672.0231256
0.1965,1313.2878984898923,1313287898.4898922
0.197,1313.312120557242,1313312120.557242
0.1975,1313.3363382335608,1313336338.2335608
0.198,1313.360551527205,1313360551.527205
0.1985,1313.3847604465,1313384760.4465
0.199,1313.4089649997413,1313408964.9997413
0.1995,1313.4331651951948,1313433165.1951947
0.2,1313.4573610410962,1313457361.0410962
0.2005,1313.4815525456518,1313481552.5456517
0.201,1313.5057397170383,1313505739.7170384
0.2015,1313.5299225634035,1313529922.5634036
0.202,1313.5541010928657,1313554101.0928657
0.2025,1313.5782753135143,1313578275.3135142
0.203,1313.60244523341,1313602445.23341
0.2035,1313.6266108605848,1313626610.8605847
0.204,1313.6507722030422,1313650772.2030423
0.2045,1313.6749292687568,1313674929.2687569
