"strain,-","stress,MPa","stress,Pa"
0.0,239.27328666960267,239273286.66960266
0.002,526.5447513508996,526544751.3508996
0.004,673.4608600712562,673460860.0712562
0.006,749.4444525006782,749444452.5006782
0.008,789.5257128766394,789525712.8766395
0.01,811.387736755756,811387736.755756
0.012,823.9626745638006,823962674.5638007
0.014,831.7671439245156,831767143.9245156
0.016,837.0889966647711,837088996.6647711
0.018,841.0904803341593,841090480.3341594
0.02,844.3648740690194,844364874.0690194
0.022,847.2174508474591,847217450.8474591
0.024,849.8073660856381,849807366.0856382
0.026,852.2193699439217,852219369.9439217
0.028,854.5000971089108,854500097.1089108
0.03,856.6764675623722,856676467.5623722
0.032,858.7650461332094,858765046.1332093
0.034,860.7768271379815,860776827.1379815
0.036,862.719699814479,862719699.814479
0.038,864.5997346651423,864599734.6651423
0.04,866.4218676418686,866421867.6418686
0.042,868.1902746396312,868190274.6396312
0.044,869.908584970681,869908584.970681
0.046,871.5800097166185,871580009.7166185
0.048,873.2074239585324,873207423.9585325
0.05,874.7934231272072,874793423.1272073
0.052,876.34036413919,876340364.13919
0.054,877.8503970647673,877850397.0647674
0.056,879.3254905222055,879325490.5222056
0.058,880.7674526501571,880767452.6501571
0.06,882.1779487891032,882177948.7891032
0.062,883.5585166039881,883558516.603988
0.064,884.9105791510044,884910579.1510044
0.066,886.235456253214,886235456.253214
0.068,887.5343744615797,887534374.4615797
0.07,888.8084758185511,888808475.8185511
0.072,890.0588255991078,890058825.5991077
0.074,891.2864191727491,891286419.1727492
0.076,892.492188105721,892492188.105721
0.078,893.6770056036248,893677005.6036248
0.08,894.8416913791107,894841691.3791107
0.082,895.987016016709,895987016.0167091
0.084,897.1137048964102,897113704.8964102
0.086,898.2224417288833,898222441.7288833
0.088,899.3138717479159,899313871.7479159
0.09,900.388604599499,900388604.599499
0.092,901.4472169617493,901447216.9617493
0.094,902.4902549254314,902490254.9254314
0.096,903.5182361610484,903518236.1610484
0.098,904.5316518952246,904531651.8952246
0.1,905.5309687163128,905530968.7163129
0.102,906.5166302267676,906516630.2267675
0.104,907.4890585577341,907489058.5577341
0.106,908.4486557595183,908448655.7595183
0.108,909.3958050800339,909395805.0800339
0.11,910.3308721419631,910330872.1419631
0.112,911.25420602818,911254206.02818
0.114,912.1661402839477,912166140.2839477
0.116,913.0669938434853,913066993.8434854
0.118,913.9570718877039,913957071.8877039
0.12,914.8366666392001,914836666.6392001
0.122,915.7060580999773,915706058.0999774
0.124,916.5655147368116,916565514.7368115
0.126,917.4152941186906,917415294.1186906
0.128,918.2556435103213,918255643.5103213
0.13,919.0868004253191,919086800.4253191
0.132,919.908993142342,919908993.142342
0.134,920.7224411871341,920722441.1871341
0.136,921.5273557831631,921527355.7831631
0.138,922.3239402732952,922323940.2732952
0.14,923.1123905147281,923112390.5147281
0.142,923.8928952492081,923892895.2492081
0.144,924.6656364503772,924665636.4503772
0.146,925.4307896499377,925430789.6499376
0.148,926.1885242441786,926188524.2441785
0.15,926.9390037822743,926939003.7822744
0.152,927.6823862376524,927682386.2376524
0.154,928.4188242636172,928418824.2636173
0.156,929.1484654343234,929148465.4343234
0.158,929.8714524721001,929871452.4721001
0.16,930.5879234620529,930587923.462053
0.162,931.2980120547918,931298012.0547918
0.164,932.0018476580749,932001847.6580749
0.166,932.699555618089,932699555.618089
0.168,933.3912573910384,933391257.3910384
0.17,934.0770707056638,934077070.7056638
0.172,934.7571097172626,934757109.7172625
0.174,935.4314851537425,935431485.1537426
