
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03       746.265      
              200.006E-06         62.0039E-03       811.557      
              300.006E-06         92.9936E-03       851.617      
              400.007E-06        123.97E-03         866.278      
              500.008E-06        154.946E-03        879.481      
              600.008E-06        185.922E-03        889.667      
              700.009E-06        216.899E-03        900.252      
              800.01E-06         247.875E-03        909.292      
              900.011E-06        278.877E-03        918.202      
                1.00001E-03      309.802E-03        926.535      
                1.10001E-03      340.727E-03        934.6        
                1.20001E-03      371.652E-03        942.139      
                1.30001E-03      402.577E-03        949.458      
                1.40001E-03      433.502E-03        956.542      
                1.5E-03          464.422E-03        963.433      
                1.6E-03          495.347E-03        970.124      
                1.7E-03          526.272E-03        976.628      
                1.8E-03          557.197E-03        982.832      
                1.9E-03          588.122E-03        988.946      
                2.E-03           619.164E-03        994.977      
                2.10001E-03      650.341E-03          1.00086E+03
                2.20001E-03      681.514E-03          1.00663E+03
                2.3E-03          712.687E-03          1.01229E+03
                2.40001E-03      743.864E-03          1.01782E+03
                2.50001E-03      775.036E-03          1.0233E+03 
                2.6E-03          806.209E-03          1.02864E+03
                2.70001E-03      837.386E-03          1.03392E+03
                2.80001E-03      868.558E-03          1.03912E+03
                2.9E-03          899.731E-03          1.04423E+03
                3.00001E-03      930.908E-03          1.04927E+03
                3.1E-03          962.08E-03           1.05423E+03
                3.20001E-03      993.257E-03          1.05913E+03
                3.30001E-03        1.02429            1.06395E+03
                3.4E-03            1.05526            1.06872E+03
                3.50001E-03        1.08623            1.07342E+03
                3.60001E-03        1.1172             1.07801E+03
                3.7E-03            1.14816            1.08254E+03
                3.80001E-03        1.17913            1.08703E+03
                3.90001E-03        1.2101             1.09145E+03
                4.E-03             1.24106            1.09584E+03
                4.10001E-03        1.27203            1.10018E+03
                4.2E-03            1.303              1.10448E+03
                4.30001E-03        1.33397            1.10873E+03
                4.40001E-03        1.36494            1.11292E+03
                4.5E-03            1.3959             1.11709E+03
                4.60001E-03        1.42687            1.12116E+03
                4.70001E-03        1.45784            1.12522E+03
                4.8E-03            1.48881            1.12918E+03
                4.90001E-03        1.51978            1.13316E+03
                5.00001E-03        1.55074            1.13704E+03
                5.1E-03            1.58171            1.14096E+03
                5.20001E-03        1.61268            1.1448E+03 
                5.3E-03            1.64365            1.14864E+03
                5.40001E-03        1.67462            1.1524E+03 
                5.50001E-03        1.70558            1.15617E+03
                5.6E-03            1.73655            1.15987E+03
                5.70001E-03        1.76752            1.16356E+03
                5.80001E-03        1.79849            1.16723E+03
                5.9E-03            1.82945            1.17082E+03
                6.00001E-03        1.86042            1.17442E+03
                6.1E-03            1.89139            1.17793E+03
                6.20001E-03        1.92236            1.18147E+03
                6.30001E-03        1.95332            1.18492E+03
                6.4E-03            1.98429            1.18838E+03
                6.50001E-03        2.01521            1.1918E+03 
                6.60001E-03        2.04576            1.19521E+03
                6.7E-03            2.07631            1.19859E+03
                6.80001E-03        2.10687            1.20192E+03
                6.90001E-03        2.13742            1.20525E+03
                7.E-03             2.16798            1.20854E+03
                7.10001E-03        2.19853            1.21183E+03
                7.2E-03            2.22909            1.21509E+03
                7.30001E-03        2.25964            1.2183E+03 
                7.40001E-03        2.2902             1.22149E+03
                7.5E-03            2.32075            1.22465E+03
                7.60001E-03        2.35131            1.22777E+03
                7.70001E-03        2.38186            1.23086E+03
                7.8E-03            2.41242            1.23393E+03
                7.90001E-03        2.44386            1.23705E+03
                8.E-03             2.47544            1.24016E+03
                8.1E-03            2.50701            1.24327E+03
                8.20001E-03        2.53858            1.24632E+03
                8.30001E-03        2.57016            1.24938E+03
                8.4E-03            2.60173            1.25238E+03
                8.5E-03            2.6333             1.25537E+03
                8.60001E-03        2.66488            1.25834E+03
                8.70001E-03        2.69645            1.26129E+03
                8.8E-03            2.72802            1.26421E+03
                8.90001E-03        2.7596             1.26712E+03
                9.00001E-03        2.79117            1.27003E+03
                9.1E-03            2.82274            1.27289E+03
                9.2E-03            2.85431            1.27573E+03
                9.30001E-03        2.88589            1.27855E+03
                9.40001E-03        2.91746            1.28134E+03
                9.5E-03            2.94904            1.28413E+03
                9.60001E-03        2.98061            1.2869E+03 
                9.70001E-03        3.01218            1.28964E+03
                9.8E-03            3.04376            1.29238E+03
                9.9E-03            3.07533            1.29509E+03
               10.E-03             3.1069             1.29778E+03




