"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.4293400000000003,3429.34
0.124006,4.399850000000001,4399.85
0.155041,5.61495,5614.95
0.186012,6.26891,6268.91
0.216989,6.78975,6789.75
0.247965,7.18587,7185.87
0.278891,7.58565,7585.65
0.309816,7.92539,7925.39
0.340741,8.256530000000001,8256.53
0.371666,8.49398,8493.98
0.402591,8.74008,8740.08
0.433516,8.96763,8967.63
0.464441,9.160020000000001,9160.02
0.495366,9.330620000000001,9330.62
0.526291,9.48855,9488.55
0.557216,9.63584,9635.84
0.588141,9.73873,9738.73
0.619183,9.841940000000001,9841.94
0.650355,9.91327,9913.27
0.681528,9.97803,9978.03
0.712705,10.0082,10008.2
0.743878,10.028500000000001,10028.5
0.775055,10.0264,10026.4
0.806227,10.009200000000002,10009.2
0.8374,9.981440000000001,9981.44
0.868577,9.946959999999999,9946.96
0.899749,9.90791,9907.91
0.930922,9.86578,9865.78
0.962099,9.82102,9821.02
0.993271,9.77355,9773.55
1.0243,9.72302,9723.02
1.05527,9.666260000000001,9666.26
1.08623,9.606200000000001,9606.2
1.1172,9.540120000000002,9540.12
1.14817,9.47026,9470.26
1.17914,9.39463,9394.63
1.21011,9.315790000000002,9315.79
1.24107,9.23057,9230.57
1.27204,9.142100000000001,9142.1
1.30301,9.04733,9047.33
1.33398,8.948860000000002,8948.86
1.36494,8.84519,8845.19
1.39591,8.73651,8736.51
1.42688,5.421100000000001,5421.1
1.4576,6.21657,6216.57
1.4883,8.32025,8320.25
1.51966,8.28611,8286.11
1.55066,8.13106,8131.06
1.5813,8.187560000000001,8187.56
1.61283,8.02077,8020.77
1.64399,7.82272,7822.72
1.67483,7.6192,7619.2
1.70544,7.4891700000000005,7489.17
1.73605,7.33647,7336.47
1.76666,7.15763,7157.63
1.79726,7.1414,7141.4
1.82787,6.98907,6989.07
1.85848,6.90428,6904.28
1.88909,6.7574,6757.4
1.9197,6.59377,6593.77
1.95091,6.4015200000000005,6401.52
1.98164,6.29733,6297.33
2.01232,6.13095,6130.95
2.04314,6.03195,6031.95
2.07413,5.88747,5887.47
2.10512,5.81175,5811.75
2.13611,5.6908199999999995,5690.82
2.1671,5.60084,5600.84
2.19828,5.49259,5492.59
2.22988,5.386100000000001,5386.1
2.26149,5.30096,5300.96
2.2931,5.215800000000001,5215.8
2.3238,5.1368100000000005,5136.81
2.35421,5.06033,5060.33
2.38462,4.99113,4991.13
2.41505,4.89691,4896.91
2.44546,4.83411,4834.11
2.47587,4.75246,4752.46
2.50808,4.70637,4706.37
2.54096,4.66652,4666.52
2.57386,4.6363,4636.3
2.60526,4.56528,4565.28
2.63624,4.560810000000001,4560.81
2.66611,4.53836,4538.36
2.69499,4.50441,4504.41
2.72531,4.49357,4493.57
2.75847,4.5153,4515.3
2.79174,4.5127299999999995,4512.73
2.82501,4.4542,4454.2
2.85829,4.431,4431.0
2.88939,4.406,4406.0
2.92015,4.3917399999999995,4391.74
2.95087,4.37258,4372.58
2.98159,4.33861,4338.61
3.01231,4.3148800000000005,4314.88
3.04303,4.3052399999999995,4305.24
3.07375,4.31454,4314.54
3.10309,4.27826,4278.26
