
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03         1.11364E+03
              200.006E-06         62.0038E-03         2.24424E+03
              300.006E-06         92.9936E-03         3.42934E+03
              400.001E-06        124.006E-03          4.39985E+03
              500.014E-06        155.041E-03          5.63424E+03
              600.E-06           186.012E-03          6.39552E+03
              700.001E-06        216.989E-03          6.73617E+03
              800.002E-06        247.965E-03          7.04217E+03
              900.003E-06        278.892E-03          7.26404E+03
                1.E-03           309.817E-03          7.48865E+03
                1.1E-03          340.742E-03          7.62644E+03
                1.2E-03          371.667E-03          7.7505E+03 
                1.30001E-03      402.592E-03          7.8589E+03 
                1.40001E-03      433.517E-03          7.94485E+03
                1.50001E-03      464.443E-03          8.00197E+03
                1.60001E-03      495.368E-03          8.05295E+03
                1.70001E-03      526.293E-03          8.08193E+03
                1.80001E-03      557.218E-03          8.10253E+03
                1.90001E-03      588.143E-03          8.11289E+03
                2.00001E-03      619.185E-03          8.11671E+03
                2.10001E-03      650.357E-03          8.11481E+03
                2.2E-03          681.53E-03           8.10938E+03
                2.30001E-03      712.707E-03          8.10175E+03
                2.4E-03          743.879E-03          8.09249E+03
                2.50001E-03      775.056E-03          8.08207E+03
                2.60001E-03      806.229E-03          8.07058E+03
                2.7E-03          837.401E-03          8.05819E+03
                2.80001E-03      868.579E-03          8.04504E+03
                2.90001E-03      899.751E-03          8.03125E+03
                3.E-03           930.924E-03          8.01679E+03
                3.10001E-03      962.101E-03          8.00166E+03
                3.20001E-03      993.273E-03          7.98584E+03
                3.3E-03            1.02458            7.96926E+03
                3.40001E-03        1.05597            7.95193E+03
                3.5E-03            1.08734            7.9336E+03 
                3.60001E-03        1.11873            7.91441E+03
                3.70001E-03        1.15011            7.89431E+03
                3.8E-03            1.18149            7.87349E+03
                3.90001E-03        1.21287            7.85197E+03
                4.00001E-03        1.24425            7.8298E+03 
                4.1E-03            1.27563            7.80692E+03
                4.20001E-03        1.30701            7.78326E+03
                4.30001E-03        1.33839            7.75876E+03
                4.4E-03            1.36977            7.73328E+03
                4.50001E-03        1.40115            7.70667E+03
                4.6E-03            1.43253            7.67893E+03
                4.70001E-03        1.46391            7.6501E+03 
                4.80001E-03        1.49529            7.62013E+03
                4.9E-03            1.52667            7.589E+03  
                5.00001E-03        1.55767            7.55692E+03
                5.1E-03            1.58871            7.5235E+03 
                5.20001E-03        1.6197             7.48885E+03
                5.3E-03            1.65066            7.45296E+03
                5.40001E-03        1.68173            7.41559E+03
                5.5E-03            1.71269            7.37699E+03
                5.60001E-03        1.74373            7.33676E+03
                5.70001E-03        1.77469            7.29507E+03
                5.8E-03            1.8057             7.2518E+03 
                5.9E-03            1.83676            7.20679E+03
                6.00001E-03        1.86763            7.16017E+03
                6.10001E-03        1.89877            7.11146E+03
                6.2E-03            1.92951            7.06151E+03
                6.3E-03            1.96077            7.00883E+03
                6.4E-03            1.99159            6.95513E+03
                6.5E-03            2.02284            6.89885E+03
                6.60001E-03        2.05363            6.84128E+03
                6.70001E-03        2.08491            6.78136E+03
                6.80001E-03        2.11568            6.72016E+03
                6.90001E-03        2.14678            6.65691E+03
                7.E-03             2.17779            6.59251E+03
                7.10001E-03        2.20875            6.52619E+03
                7.2E-03            2.2398             6.45917E+03
                7.3E-03            2.27079            6.39013E+03
                7.40001E-03        2.3017             6.32021E+03
                7.5E-03            2.33298            6.24899E+03
                7.6E-03            2.36356            6.1769E+03 
                7.70001E-03        2.39514            6.10326E+03
                7.8E-03            2.42525            6.03092E+03
                7.9E-03            2.4571             5.95592E+03
                8.E-03             2.48769            5.88205E+03
                8.1E-03            2.51809            5.80982E+03
                8.2E-03            2.54768            5.73867E+03
                8.3E-03            2.57912            5.6626E+03 
                8.4E-03            2.61196            5.58493E+03
                8.5E-03            2.64304            5.50902E+03
                8.6E-03            2.67413            5.43475E+03
                8.7E-03            2.7046             5.36213E+03
                8.8E-03            2.73385            5.29135E+03
                8.9E-03            2.76315            5.22219E+03
                9.E-03             2.7964             5.1433E+03 
                9.1E-03            2.8284             5.06647E+03
                9.2E-03            2.8604             4.99172E+03
                9.3E-03            2.89204            4.9184E+03 
                9.4E-03            2.92191            4.84656E+03
                9.5E-03            2.95178            4.77684E+03
                9.6E-03            2.98164            4.70865E+03
                9.7E-03            3.0106             4.64152E+03
                9.8E-03            3.04212            4.56753E+03
                9.9E-03            3.0754             4.49175E+03
               10.E-03             3.10868            4.41746E+03




