"displacement,mm","force,kN","force,N"
0.0,0.0031256499999999998,3.12565
0.0300013,1.07772,1077.72
0.0600055,2.17217,2172.17
0.0899964,3.3191300000000004,3319.13
0.120005,4.25807,4258.07
0.150013,5.45308,5453.08
0.179965,6.4537700000000005,6453.77
0.209917,7.45645,7456.45
0.23987,8.04421,8044.21
0.269785,8.62918,8629.18
0.299686,9.02541,9025.41
0.329583,9.33942,9339.42
0.359484,9.55616,9556.16
0.389385,9.734770000000001,9734.77
0.419286,9.904190000000002,9904.19
0.449187,10.031600000000001,10031.6
0.479088,10.1395,10139.5
0.508989,10.2382,10238.2
0.53889,10.3285,10328.5
0.568791,10.4003,10400.3
0.598805,10.469700000000001,10469.7
0.628945,10.534600000000001,10534.6
0.65909,10.5904,10590.4
0.68923,10.6403,10640.3
0.719371,10.6897,10689.7
0.749516,10.732700000000001,10732.7
0.779656,10.7694,10769.4
0.8098,10.8046,10804.6
0.839941,10.8368,10836.8
0.870081,10.866299999999999,10866.3
0.900226,10.893600000000001,10893.6
0.930366,10.918600000000001,10918.6
0.960507,10.9412,10941.2
0.990651,10.961,10961.0
1.02079,10.9784,10978.4
1.05093,10.9945,10994.5
1.08108,11.009500000000001,11009.5
1.11122,11.0219,11021.9
1.14136,11.0326,11032.6
1.1715,11.0424,11042.4
1.20164,11.0499,11049.9
1.23179,11.0565,11056.5
1.26186,11.061200000000001,11061.2
1.29158,11.0647,11064.7
1.32131,11.0665,11066.5
1.35104,11.067,11067.0
1.38077,11.066,11066.0
1.4105,11.0637,11063.7
1.44023,11.06,11060.0
1.46996,11.0549,11054.9
1.49969,11.0486,11048.6
1.52942,11.040799999999999,11040.8
1.55915,11.031799999999999,11031.8
1.58887,11.0214,11021.4
1.6186,11.009500000000001,11009.5
1.64833,10.995600000000001,10995.6
1.67832,10.9799,10979.9
1.70861,10.9626,10962.6
1.73891,10.9438,10943.8
1.7692,10.923399999999999,10923.4
1.79949,10.901299999999999,10901.3
1.82979,10.8775,10877.5
1.86008,10.8519,10851.9
1.89037,10.8239,10823.9
1.92066,10.793600000000001,10793.6
1.95096,10.7612,10761.2
1.98125,10.726600000000001,10726.6
2.01154,10.6899,10689.9
2.04226,10.6509,10650.9
2.07298,10.6095,10609.5
2.1037,10.565299999999999,10565.3
2.13442,10.5185,10518.5
2.16514,10.4689,10468.9
2.19507,10.4166,10416.6
2.22493,10.3615,10361.5
2.2548,10.303799999999999,10303.8
2.28486,10.242600000000001,10242.6
2.31486,10.178700000000001,10178.7
2.34488,10.1106,10110.6
2.37463,10.040000000000001,10040.0
2.40425,9.966370000000001,9966.37
2.4348,9.88617,9886.17
2.4646,9.80419,9804.19
2.4939,9.72025,9720.25
2.52467,9.62805,9628.05
2.55473,9.53357,9533.57
2.58425,9.437610000000001,9437.61
2.61433,9.33633,9336.33
2.64478,9.2298,9229.8
2.67466,9.12268,9122.68
2.70375,9.01535,9015.35
2.73449,8.89855,8898.55
2.76501,8.78069,8780.69
2.79445,8.66383,8663.83
2.82446,8.54205,8542.05
2.85524,8.41549,8415.49
2.8851,8.290700000000001,8290.7
2.9143,8.16799,8167.99
2.94365,8.04402,8044.02
2.97498,7.9119399999999995,7911.94
3.00538,7.78337,7783.37
