
                  X             Displacement          Force      

                0.                 0.                 3.12565    
              100.007E-06         30.0013E-03         1.07772E+03
              200.006E-06         60.0055E-03         2.17217E+03
              300.006E-06         89.9964E-03         3.31913E+03
              400.012E-06        120.005E-03          4.25807E+03
              500.01E-06         150.013E-03          5.45308E+03
              600.011E-06        179.965E-03          6.45377E+03
              700.012E-06        209.917E-03          7.45645E+03
              800.012E-06        239.87E-03           8.04421E+03
              900.013E-06        269.785E-03          8.62918E+03
                1.00001E-03      299.686E-03          9.02541E+03
                1.1E-03          329.583E-03          9.33942E+03
                1.2E-03          359.484E-03          9.55616E+03
                1.3E-03          389.385E-03          9.73477E+03
                1.4E-03          419.286E-03          9.90419E+03
                1.5E-03          449.187E-03         10.0316E+03 
                1.6E-03          479.088E-03         10.1395E+03 
                1.7E-03          508.989E-03         10.2382E+03 
                1.80001E-03      538.89E-03          10.3285E+03 
                1.90001E-03      568.791E-03         10.4003E+03 
                2.00001E-03      598.805E-03         10.4697E+03 
                2.1E-03          628.945E-03         10.5346E+03 
                2.20001E-03      659.09E-03          10.5904E+03 
                2.30001E-03      689.23E-03          10.6403E+03 
                2.4E-03          719.371E-03         10.6897E+03 
                2.50001E-03      749.516E-03         10.7327E+03 
                2.6E-03          779.656E-03         10.7694E+03 
                2.70001E-03      809.8E-03           10.8046E+03 
                2.80001E-03      839.941E-03         10.8368E+03 
                2.9E-03          870.081E-03         10.8663E+03 
                3.00001E-03      900.226E-03         10.8936E+03 
                3.10001E-03      930.366E-03         10.9186E+03 
                3.2E-03          960.507E-03         10.9412E+03 
                3.30001E-03      990.651E-03         10.961E+03  
                3.40001E-03        1.02079           10.9784E+03 
                3.5E-03            1.05093           10.9945E+03 
                3.60001E-03        1.08108           11.0095E+03 
                3.7E-03            1.11122           11.0219E+03 
                3.80001E-03        1.14136           11.0326E+03 
                3.90001E-03        1.1715            11.0424E+03 
                4.E-03             1.20164           11.0499E+03 
                4.10001E-03        1.23179           11.0565E+03 
                4.20001E-03        1.26186           11.0612E+03 
                4.3E-03            1.29158           11.0647E+03 
                4.40001E-03        1.32131           11.0665E+03 
                4.5E-03            1.35104           11.067E+03  
                4.6E-03            1.38077           11.066E+03  
                4.70001E-03        1.4105            11.0637E+03 
                4.8E-03            1.44023           11.06E+03   
                4.90001E-03        1.46996           11.0549E+03 
                5.00001E-03        1.49969           11.0486E+03 
                5.1E-03            1.52942           11.0408E+03 
                5.20001E-03        1.55915           11.0318E+03 
                5.30001E-03        1.58887           11.0214E+03 
                5.4E-03            1.6186            11.0095E+03 
                5.50001E-03        1.64833           10.9956E+03 
                5.6E-03            1.67832           10.9799E+03 
                5.70001E-03        1.70861           10.9626E+03 
                5.80001E-03        1.73891           10.9438E+03 
                5.90001E-03        1.7692            10.9234E+03 
                6.E-03             1.79949           10.9013E+03 
                6.10001E-03        1.82979           10.8775E+03 
                6.20001E-03        1.86008           10.8519E+03 
                6.3E-03            1.89037           10.8239E+03 
                6.4E-03            1.92066           10.7936E+03 
                6.50001E-03        1.95096           10.7612E+03 
                6.60001E-03        1.98125           10.7266E+03 
                6.7E-03            2.01154           10.6899E+03 
                6.80001E-03        2.04226           10.6509E+03 
                6.90001E-03        2.07298           10.6095E+03 
                7.E-03             2.1037            10.5653E+03 
                7.1E-03            2.13442           10.5185E+03 
                7.20001E-03        2.16514           10.4689E+03 
                7.30001E-03        2.19507           10.4166E+03 
                7.4E-03            2.22493           10.3615E+03 
                7.50001E-03        2.2548            10.3038E+03 
                7.60001E-03        2.28486           10.2426E+03 
                7.7E-03            2.31486           10.1787E+03 
                7.8E-03            2.34488           10.1106E+03 
                7.90001E-03        2.37463           10.04E+03   
                8.E-03             2.40425            9.96637E+03
                8.10001E-03        2.4348             9.88617E+03
                8.2E-03            2.4646             9.80419E+03
                8.30001E-03        2.4939             9.72025E+03
                8.40001E-03        2.52467            9.62805E+03
                8.5E-03            2.55473            9.53357E+03
                8.6E-03            2.58425            9.43761E+03
                8.7E-03            2.61433            9.33633E+03
                8.8E-03            2.64478            9.2298E+03 
                8.90001E-03        2.67466            9.12268E+03
                9.E-03             2.70375            9.01535E+03
                9.1E-03            2.73449            8.89855E+03
                9.20001E-03        2.76501            8.78069E+03
                9.3E-03            2.79445            8.66383E+03
                9.4E-03            2.82446            8.54205E+03
                9.50001E-03        2.85524            8.41549E+03
                9.6E-03            2.8851             8.2907E+03 
                9.7E-03            2.9143             8.16799E+03
                9.8E-03            2.94365            8.04402E+03
                9.9E-03            2.97498            7.91194E+03
               10.E-03             3.00538            7.78337E+03




