"strain,-","stress,MPa","stress,Pa"
0.0,1005.3206714831636,1005320671.4831636
0.0005,1136.977717735779,1136977717.7357788
0.001,1218.7279702230544,1218727970.2230544
0.0015,1269.5820299296952,1269582029.9296951
0.002,1301.3073693264178,1301307369.3264177
0.0025,1321.1880523633113,1321188052.3633113
0.003,1333.7329648535087,1333732964.8535087
0.0035,1341.7331868007864,1341733186.8007863
0.004,1346.9164922487098,1346916492.24871
0.0045,1350.3524764112235,1350352476.4112234
0.005,1352.7033243869087,1352703324.3869088
0.0055,1354.3790340427386,1354379034.0427387
0.006,1355.633497274604,1355633497.274604
0.0065,1356.6239733649563,1356623973.3649564
0.007,1357.44790251172,1357447902.51172
0.0075,1358.1656932022333,1358165693.2022333
0.008,1358.8148275629296,1358814827.5629296
0.0085,1359.4185926321493,1359418592.6321492
0.009,1359.9914851330045,1359991485.1330044
0.0095,1360.5425571706007,1360542557.1706007
0.01,1361.0774873737253,1361077487.3737252
0.0105,1361.5998630897368,1361599863.0897367
0.011,1362.1119742191188,1362111974.2191188
0.0115,1362.6153047497498,1362615304.74975
0.012,1363.110837160522,1363110837.160522
0.0125,1363.5992409836213,1363599240.9836214
0.013,1364.0809896533972,1364080989.653397
0.0135,1364.5564329571164,1364556432.9571164
0.014,1365.0258419960574,1365025841.9960573
0.0145,1365.4894371236446,1365489437.1236446
0.015,1365.9474053399038,1365947405.3399038
0.0155,1366.399911153326,1366399911.153326
0.016,1366.8471033933954,1366847103.3933954
0.0165,1367.289119511298,1367289119.511298
0.017,1367.726088320895,1367726088.3208952
0.0175,1368.1581317696289,1368158131.7696288
0.018,1368.5853661046879,1368585366.104688
0.0185,1369.0079026608441,1369007902.660844
0.019,1369.425848410396,1369425848.4103959
0.0195,1369.8393063623776,1369839306.3623776
0.02,1370.2483758652252,1370248375.865225
0.0205,1370.6531528466548,1370653152.846655
0.021,1371.0537300118403,1371053730.0118403
0.0215,1371.4501970131244,1371450197.0131245
0.022,1371.8426405996315,1371842640.5996315
0.0225,1372.231144752107,1372231144.752107
0.023,1372.6157908064272,1372615790.8064272
0.0235,1372.9966575680564,1372996657.5680563
0.024,1373.3738214189639,1373373821.418964
0.0245,1373.7473564180768,1373747356.4180768
0.025,1374.1173343960218,1374117334.3960218
0.0255,1374.48382504474,1374483825.04474
0.026,1374.8468960024159,1374846896.002416
0.0265,1375.2066129340888,1375206612.9340887
0.027,1375.5630396082547,1375563039.6082547
0.0275,1375.9162379697239,1375916237.969724
0.028,1376.2662682089697,1376266268.2089696
0.0285,1376.6131888281807,1376613188.8281808
0.029,1376.957056704212,1376957056.704212
0.0295,1377.2979271486106,1377297927.1486106
0.03,1377.6358539648809,1377635853.964881
0.0305,1377.970889503144,1377970889.503144
0.031,1378.3030847123314,1378303084.7123313
0.0315,1378.632489190047,1378632489.190047
0.032,1378.959151230224,1378959151.2302241
0.0325,1379.28311786869,1379283117.86869
0.033,1379.6044349267502,1379604434.9267502
0.0335,1379.9231470528962,1379923147.0528963
0.034,1380.2392977627296,1380239297.7627296
0.0345,1380.5529294771973,1380552929.4771972
0.035,1380.8640835592212,1380864083.5592213
0.0355,1381.1728003488017,1381172800.3488016
0.036,1381.4791191966733,1381479119.1966734
0.0365,1381.7830784965831,1381783078.4965832
0.037,1382.0847157162575,1382084715.7162576
0.0375,1382.3840674271219,1382384067.4271219
0.038,1382.6811693328343,1382681169.3328342
0.0385,1382.9760562966885,1382976056.2966886
0.039,1383.2687623679385,1383268762.3679385
0.0395,1383.5593208070995,1383559320.8070996
0.04,1383.8477641102666,1383847764.1102664
0.0405,1384.1341240325023,1384134124.0325024
0.041,1384.418431610333,1384418431.610333
0.0415,1384.7007171833948,1384700717.1833947
0.042,1384.9810104152666,1384981010.4152665
0.0425,1385.2593403135295,1385259340.3135295
0.043,1385.5357352490837,1385535735.2490838
0.0435,1385.8102229747576,1385810222.9747577
0.044,1386.0828306432395,1386082830.6432395
0.0445,1386.3535848243612,1386353584.824361
0.045,1386.6225115217608,1386622511.5217607
0.0455,1386.889636188955,1386889636.1889548
0.046,1387.154983744839,1387154983.744839
0.0465,1387.4185785886464,1387418578.5886464
0.047,1387.6804446143844,1387680444.6143844
0.0475,1387.9406052247714,1387940605.2247715
0.048,1388.1990833446953,1388199083.3446953
0.0485,1388.4559014342108,1388455901.4342108
0.049,1388.7110815010988,1388711081.5010989
0.0495,1388.9646451130016,1388964645.1130016
0.05,1389.2166134091513,1389216613.4091513
0.0505,1389.4670071117107,1389467007.1117108
0.051,1389.7158465367395,1389715846.5367396
0.0515,1389.9631516047994,1389963151.6047993
0.052,1390.208941851217,1390208941.851217
0.0525,1390.4532364360127,1390453236.4360127
0.053,1390.6960541535107,1390696054.1535106
0.0535,1390.9374134416435,1390937413.4416435
0.054,1391.1773323909592,1391177332.3909593
0.0545,1391.4158287533483,1391415828.7533484
0.055,1391.6529199504935,1391652919.9504936
0.0555,1391.8886230820588,1391888623.0820587
0.056,1392.1229549336258,1392122954.9336257
0.0565,1392.355931984384,1392355931.9843838
0.057,1392.5875704145888,1392587570.4145887
0.0575,1392.8178861127906,1392817886.1127906
0.058,1393.0468946828491,1393046894.6828492
0.0585,1393.2746114507333,1393274611.4507334
0.059,1393.501051471123,1393501051.471123
0.0595,1393.7262295338119,1393726229.5338118
0.06,1393.9501601699221,1393950160.169922
0.0605,1394.1728576579408,1394172857.6579409
0.061,1394.3943360295743,1394394336.0295744
0.0615,1394.61460907544,1394614609.0754402
0.062,1394.8336903505906,1394833690.3505905
0.0625,1395.05159317988,1395051593.17988
0.063,1395.2683306631793,1395268330.6631794
0.0635,1395.4839156804433,1395483915.6804433
0.064,1395.6983608966361,1395698360.8966362
0.0645,1395.9116787665184,1395911678.7665184
0.065,1396.1238815393006,1396123881.5393004
0.0655,1396.3349812631695,1396334981.2631695
0.066,1396.5449897896901,1396544989.78969
0.0665,1396.7539187780853,1396753918.7780852
0.067,1396.9617796994032,1396961779.6994033
0.0675,1397.1685838405663,1397168583.8405662
0.068,1397.3743423083176,1397374342.3083177
0.0685,1397.5790660330576,1397579066.0330577
0.069,1397.7827657725798,1397782765.7725797
0.0695,1397.985452115709,1397985452.115709
0.07,1398.1871354858422,1398187135.4858422
0.0705,1398.3878261443988,1398387826.1443987
0.071,1398.5875341941774,1398587534.1941774
0.0715,1398.7862695826302,1398786269.5826302
0.072,1398.9840421050503,1398984042.1050503
0.0725,1399.180861407679,1399180861.407679
0.073,1399.3767369907305,1399376736.9907305
0.0735,1399.5716782113452,1399571678.2113452
0.074,1399.7656942864646,1399765694.2864647
0.0745,1399.9587942956346,1399958794.2956345
0.075,1400.1509871837402,1400150987.1837401
0.0755,1400.342281763672,1400342281.7636719
0.076,1400.5326867189242,1400532686.7189243
0.0765,1400.7222106061333,1400722210.6061332
0.077,1400.9108618575508,1400910861.8575509
0.0775,1401.098648783457,1401098648.783457
0.078,1401.285579574517,1401285579.574517
0.0785,1401.4716623040786,1401471662.3040786
0.079,1401.656904930417,1401656904.930417
0.0795,1401.8413152989226,1401841315.2989225
0.08,1402.024901144241,1402024901.144241
0.0805,1402.2076700923594,1402207670.0923593
0.081,1402.3896296626438,1402389629.6626437
0.0815,1402.570787269831,1402570787.269831
0.082,1402.7511502259722,1402751150.2259722
0.0825,1402.9307257423313,1402930725.7423313
0.083,1403.1095209312405,1403109520.9312406
0.0835,1403.2875428079128,1403287542.8079128
0.084,1403.4647982922127,1403464798.2922127
0.0845,1403.6412942103866,1403641294.2103865
0.085,1403.8170372967552,1403817037.296755
0.0855,1403.9920341953652,1403992034.1953652
0.086,1404.1662914616077,1404166291.4616077
0.0865,1404.3398155637956,1404339815.5637956
0.087,1404.5126128847096,1404512612.8847096
0.0875,1404.6846897231096,1404684689.7231097
0.088,1404.8560522952107,1404856052.2952106
0.0885,1405.0267067361283,1405026706.7361283
0.089,1405.1966591012915,1405196659.1012914
0.0895,1405.365915367826,1405365915.367826
0.09,1405.5344814359057,1405534481.4359057
0.0905,1405.7023631300767,1405702363.1300766
0.091,1405.8695662005518,1405869566.2005517
0.0915,1406.0360963244782,1406036096.3244781
0.092,1406.2019591071771,1406201959.107177
0.0925,1406.3671600833582,1406367160.083358
0.093,1406.5317047183075,1406531704.7183075
0.0935,1406.695598409051,1406695598.409051
0.094,1406.858846485493,1406858846.485493
0.0945,1407.0214542115323,1407021454.2115324
0.095,1407.183426786154,1407183426.786154
0.0955,1407.3447693444982,1407344769.3444982
0.096,1407.5054869589076,1407505486.9589076
0.0965,1407.665584639955,1407665584.6399548
0.097,1407.8250673374464,1407825067.3374465
0.0975,1407.9839399414072,1407983939.9414072
0.098,1408.1422072830453,1408142207.2830453
0.0985,1408.2998741356978,1408299874.1356978
0.099,1408.456945215757,1408456945.2157571
0.0995,1408.6134251835767,1408613425.1835768
0.1,1408.769318644364,1408769318.6443639
0.1005,1408.9246301490498,1408924630.1490498
0.101,1409.079364195144,1409079364.1951442
0.1015,1409.2335252275736,1409233525.2275736
0.102,1409.3871176395044,1409387117.6395044
0.1025,1409.5401457731455,1409540145.7731454
0.103,1409.6926139205402,1409692613.9205403
0.1035,1409.84452632434,1409844526.32434
0.104,1409.9958871785648,1409995887.1785648
0.1045,1410.1467006293465,1410146700.6293464
0.105,1410.2969707756617,1410296970.7756617
0.1055,1410.4467016700464,1410446701.6700463
0.106,1410.5958973193005,1410595897.3193007
0.1065,1410.7445616851776,1410744561.6851776
0.107,1410.892698685061,1410892698.685061
0.1075,1411.040312192629,1411040312.192629
0.108,1411.1874060385055,1411187406.0385056
0.1085,1411.3339840109006,1411333984.0109007
0.109,1411.480049856237,1411480049.856237
0.1095,1411.6256072797678,1411625607.2797678
0.11,1411.7706599461796,1411770659.9461796
0.1105,1411.9152114801875,1411915211.4801874
0.111,1412.0592654671163,1412059265.4671164
0.1115,1412.2028254534741,1412202825.453474
