"strain,-","stress,MPa","stress,Pa"
0.0,747.2787657980122,747278765.7980121
0.002,908.4982650580333,908498265.0580333
0.004,972.5318126636163,972531812.6636163
0.006,1014.5452215716366,1014545221.5716366
0.008,1046.2308476698604,1046230847.6698604
0.01,1071.8369103713344,1071836910.3713344
0.012,1093.410153077165,1093410153.077165
0.014,1112.1007819546728,1112100781.9546728
0.016,1128.6222804035347,1128622280.4035347
0.018,1143.44896472175,1143448964.72175
0.02,1156.9127950255347,1156912795.0255346
0.022,1169.255527004975,1169255527.004975
0.024,1180.658896427174,1180658896.427174
0.026,1191.2631042784585,1191263104.2784586
0.028,1201.1786662057305,1201178666.2057304
0.03,1210.494300559424,1210494300.559424
0.032,1219.2823488056988,1219282348.8056989
0.034,1227.6026025799795,1227602602.5799794
0.036,1235.5050697526005,1235505069.7526004
0.038,1243.032014909263,1243032014.909263
0.04,1250.2194919018,1250219491.9018
0.042,1257.0985134302796,1257098513.4302795
0.044,1263.6959564468657,1263695956.4468658
0.046,1270.035272100623,1270035272.100623
0.048,1276.1370489118601,1276137048.9118602
0.05,1282.0194642499218,1282019464.2499218
0.052,1287.6986497639934,1287698649.7639935
0.054,1293.1889897836493,1293188989.7836492
0.056,1298.5033669664554,1298503366.9664555
0.058,1303.6533660361297,1303653366.0361297
0.06,1308.649443934906,1308649443.934906
0.062,1313.501072842692,1313501072.8426921
0.064,1318.2168611110149,1318216861.1110148
0.066,1322.8046560946273,1322804656.0946274
0.068,1327.2716320482525,1327271632.0482526
0.07,1331.6243656262297,1331624365.6262298
0.072,1335.8689010324588,1335868901.0324588
0.074,1340.0108064832386,1340010806.4832387
0.076,1344.05522334142,1344055223.3414202
0.078,1348.0069090382005,1348006909.0382006
0.08,1351.8702747049686,1351870274.7049685
0.082,1355.6494182813115,1355649418.2813115
0.084,1359.348153738607,1359348153.738607
0.086,1362.970036955367,1362970036.955367
0.088,1366.5183886958932,1366518388.6958933
0.09,1369.9963150741553,1369996315.0741553
0.092,1373.4067258271864,1373406725.8271863
0.094,1376.7523506744076,1376752350.6744075
0.096,1380.0357539993472,1380035753.9993472
0.098,1383.2593480567411,1383259348.0567412
0.1,1386.4254048798523,1386425404.8798523
0.102,1389.536067039065,1389536067.0390651
0.104,1392.5933573826758,1392593357.382676
0.106,1395.5991878736738,1395599187.873674
0.108,1398.5553676217019,1398555367.621702
0.11,1401.4636101968802,1401463610.19688
0.112,1404.325540301458,1404325540.301458
0.114,1407.142699866021,1407142699.8660212
0.116,1409.9165536290047,1409916553.6290047
0.118,1412.6484942513757,1412648494.2513757
0.12,1415.3398470123504,1415339847.0123506
0.122,1417.99187412681,1417991874.12681
0.124,1420.605778720534,1420605778.720534
0.126,1423.1827084954025,1423182708.4954026
0.128,1425.7237591132343,1425723759.1132343
0.13,1428.2299773238856,1428229977.3238857
0.132,1430.7023638605292,1430702363.8605292
0.134,1433.141876122685,1433141876.122685
0.136,1435.5494306654653,1435549430.6654654
0.138,1437.9259055116468,1437925905.5116467
0.14,1440.2721423015505,1440272142.3015504
0.142,1442.5889482942355,1442588948.2942355
0.144,1444.8770982322249,1444877098.232225
0.146,1447.1373360808177,1447137336.0808177
0.148,1449.3703766520157,1449370376.6520157
0.15,1451.5769071221541,1451576907.1221542
0.152,1453.7575884515154,1453757588.4515154
0.154,1455.913056713449,1455913056.713449
0.156,1458.0439243398569,1458043924.3398569
0.158,1460.1507812893042,1460150781.2893043
0.16,1462.2341961434738,1462234196.1434739
0.162,1464.2947171371932,1464294717.1371932
0.164,1466.3328731268246,1466332873.1268246
0.166,1468.349174501404,1468349174.5014038
0.168,1470.3441140405623,1470344114.0405624
0.17,1472.3181677229252,1472318167.7229252
0.172,1474.271795488397,1474271795.488397
0.174,1476.2054419574617,1476205441.9574618
0.176,1478.1195371103843,1478119537.1103842
0.178,1480.0144969289788,1480014496.928979
0.18,1481.8907240033989,1481890724.003399
0.182,1483.748608106223,1483748608.1062229
0.184,1485.5885267359315,1485588526.7359314
0.186,1487.410845631726,1487410845.631726
0.188,1489.2159192614863,1489215919.2614863
0.19,1491.0040912845382,1491004091.2845383
0.192,1492.775694990784,1492775694.990784
0.194,1494.5310537176304,1494531053.7176304
0.196,1496.2704812460577,1496270481.2460577
0.198,1497.9942821770685,1497994282.1770685
0.2,1499.7027522896826,1499702752.2896826
0.202,1501.396178881549,1501396178.8815491
0.204,1503.0748410931894,1503074841.0931895
0.206,1504.7390102168054,1504739010.2168055
0.208,1506.388949990528,1506388949.990528
0.21,1508.0249168789323,1508024916.8789322
0.212,1509.6471603405757,1509647160.3405757
0.214,1511.2559230832805,1511255923.0832806
0.216,1512.85144130783,1512851441.30783
0.218,1514.4339449407046,1514433944.9407046
0.22,1516.003657856447,1516003657.856447
0.222,1517.56079809021,1517560798.09021
0.224,1519.105578041001,1519105578.041001
0.226,1520.638204666111,1520638204.666111
0.228,1522.158879667186,1522158879.667186
0.23,1523.667799668368,1523667799.6683679
0.232,1525.165156386908,1525165156.386908
0.234,1526.6511367966366,1526651136.7966366
0.236,1528.1259232846419,1528125923.284642
0.238,1529.589693801497,1529589693.8014972
0.24,1531.0426220053523,1531042622.0053523
0.242,1532.484877400193,1532484877.400193
0.244,1533.9166254685429,1533916625.4685428
0.246,1535.3380277988815,1535338027.7988815
0.248,1536.749242208027,1536749242.208027
0.25,1538.1504228587216,1538150422.8587217
0.252,1539.5417203726442,1539541720.3726442
0.254,1540.9232819390631,1540923281.939063
0.256,1542.2952514193305,1542295251.4193306
0.258,1543.6577694474076,1543657769.4474077
0.26,1545.0109735266017,1545010973.5266018
0.262,1546.354998122685,1546354998.122685
0.264,1547.6899747535583,1547689974.7535584
0.266,1549.0160320756113,1549016032.0756114
0.268,1550.333295966925,1550333295.9669251
0.27,1551.6418896074579,1551641889.6074579
0.272,1552.9419335563387,1552941933.5563385
0.274,1554.233545826401,1554233545.826401
0.276,1555.5168419560687,1555516841.9560688
0.278,1556.791935078709,1556791935.078709
0.28,1558.0589359895591,1558058935.9895592
0.282,1559.317953210328,1559317953.2103279
0.284,1560.56909305157,1560569093.05157
0.286,1561.8124596729208,1561812459.6729207
0.288,1563.048155141286,1563048155.1412861
0.29,1564.2762794870634,1564276279.4870634
0.292,1565.4969307584795,1565496930.7584796
0.294,1566.7102050741155,1566710205.0741155
0.296,1567.9161966736945,1567916196.6736944
0.298,1569.114997967201,1569114997.967201
0.3,1570.3066995823945,1570306699.5823944
0.302,1571.4913904107843,1571491390.4107842
0.304,1572.669157652121,1572669157.6521208
0.306,1573.8400868574647,1573840086.8574648
0.308,1575.004261970884,1575004261.970884
0.31,1576.161765369838,1576161765.369838
0.312,1577.3126779042882,1577312677.9042883
0.314,1578.457078934594,1578457078.934594
0.316,1579.5950463682302,1579595046.36823
0.318,1580.7266566953767,1580726656.6953766
0.32,1581.8519850234165,1581851985.0234165
0.322,1582.9711051103864,1582971105.1103864
0.324,1584.0840893974153,1584084089.3974152
0.326,1585.1910090401882,1585191009.040188
0.328,1586.2919339394723,1586291933.9394722
0.33,1587.3869327707353,1587386932.7707353
0.332,1588.4760730128894,1588476073.0128894
0.334,1589.5594209761962,1589559420.9761963
0.336,1590.6370418293557,1590637041.8293557
0.338,1591.7089996258085,1591708999.6258085
0.34,1592.7753573292857,1592775357.3292856
0.342,1593.836176838623,1593836176.838623
0.344,1594.8915190118694,1594891519.0118694
0.346,1595.9414436897146,1595941443.6897147
0.348,1596.986009718257,1596986009.718257
0.35,1598.025274971133,1598025274.971133
0.352,1599.0592963710337,1599059296.3710337
0.354,1600.0881299106238,1600088129.9106238
0.356,1601.111830672886,1601111830.6728861
0.358,1602.1304528509097,1602130452.8509097
0.36,1603.1440497671413,1603144049.7671413
0.362,1604.1526738921123,1604152673.8921123
0.364,1605.1563768626654,1605156376.8626654
0.366,1606.1552094996925,1606155209.4996924
0.368,1607.1492218254011,1607149221.825401
0.37,1608.1384630801224,1608138463.0801225
0.372,1609.122981738679,1609122981.7386792
0.374,1610.1028255263225,1610102825.5263224
0.376,1611.0780414342569,1611078041.4342568
0.378,1612.0486757347603,1612048675.7347603
0.38,1613.0147739959161,1613014773.9959161
0.382,1613.9763810959669,1613976381.0959668
0.384,1614.933541237303,1614933541.237303
0.386,1615.8862979600954,1615886297.9600954
0.388,1616.834694155586,1616834694.155586
0.39,1617.778772079042,1617778772.079042
0.392,1618.7185733623892,1618718573.362389
0.394,1619.65413902653,1619654139.02653
0.396,1620.5855094933568,1620585509.4933567
0.398,1621.512724597471,1621512724.597471
0.4,1622.4358235976142,1622435823.5976143
0.402,1623.3548451878219,1623354845.1878219
0.404,1624.2698275083044,1624269827.5083044
0.406,1625.1808081560703,1625180808.1560702
0.408,1626.08782419529,1626087824.19529
0.41,1626.9909121674148,1626990912.1674147
0.412,1627.890108101054,1627890108.101054
0.414,1628.7854475216209,1628785447.521621
0.416,1629.6769654607472,1629676965.4607472
0.418,1630.564696465482,1630564696.465482
0.42,1631.448674607275,1631448674.607275
0.422,1632.3289334907472,1632328933.4907472
0.424,1633.2055062622655,1633205506.2622654
0.426,1634.0784256183167,1634078425.6183167
0.428,1634.9477238136892,1634947723.8136892
0.43,1635.813432669471,1635813432.669471
0.432,1636.6755835808656,1636675583.5808656
0.434,1637.5342075248298,1637534207.5248299
0.436,1638.3893350675428,1638389335.0675428
0.438,1639.240996371707,1639240996.371707
0.44,1640.0892212036863,1640089221.2036862
0.442,1640.9340389404863,1640934038.9404862
0.444,1641.7754785765812,1641775478.5765812
0.446,1642.6135687305907,1642613568.7305908
0.448,1643.4483376518108,1643448337.651811
0.45,1644.279813226602,1644279813.226602
0.452,1645.1080229846414,1645108022.9846413
0.454,1645.9329941050364,1645932994.1050365
0.456,1646.7547534223106,1646754753.4223106
0.458,1647.5733274322604,1647573327.4322603
0.46,1648.388742297686,1648388742.2976859
0.462,1649.201023854003,1649201023.8540032
0.464,1650.0101976147346,1650010197.6147346
0.466,1650.8162887768874,1650816288.7768874
0.468,1651.6193222262168,1651619322.2262168
0.47,1652.4193225423817,1652419322.5423818
0.472,1653.2163140039925,1653216314.0039926
0.474,1654.010320593554,1654010320.593554
0.476,1654.801366002309,1654801366.0023088
0.478,1655.5894736349794,1655589473.6349795
0.48,1656.3746666144139,1656374666.6144137
0.482,1657.1569677861391,1657156967.7861392
0.484,1657.9363997228195,1657936399.7228196
0.486,1658.712984728628,1658712984.7286282
0.488,1659.4867448435275,1659486744.8435276
0.49,1660.2577018474685,1660257701.8474686
0.492,1661.025877264502,1661025877.264502
0.494,1661.7912923668118,1661791292.3668118
0.496,1662.5539681786663,1662553968.1786664
0.498,1663.3139254802943,1663313925.4802942
0.5,1664.0711848116825,1664071184.8116825
0.505,1665.9526621896953,1665952662.1896954
0.51,1667.817714460974,1667817714.460974
0.515,1669.6666438190687,1669666643.8190687
0.52,1671.4997440323639,1671499744.032364
0.525,1673.3173007573319,1673317300.7573318
0.53,1675.1195918372791,1675119591.837279
0.535,1676.9068875873893,1676906887.5873892
0.54,1678.6794510668137,1678679451.0668137
0.545,1680.4375383385104,1680437538.3385105
0.55,1682.181398717491,1682181398.717491
0.555,1683.9112750080917,1683911275.0080917
0.56,1685.6274037308501,1685627403.7308502
0.565,1687.3300153395298,1687330015.3395298
0.57,1689.019334428802,1689019334.428802
0.575,1690.695579933069,1690695579.933069
0.58,1692.3589653168754,1692358965.3168755
0.585,1694.0096987573372,1694009698.7573373
0.59,1695.6479833189846,1695647983.3189847
0.595,1697.274017121397,1697274017.121397
0.6,1698.887993499985,1698887993.499985
0.605,1700.4901011602533,1700490101.1602533
0.61,1702.0805243258633,1702080524.3258634
0.615,1703.6594428807882,1703659442.8807883
0.62,1705.227032505846,1705227032.505846
0.625,1706.7834648098756,1706783464.8098755
0.63,1708.3289074558056,1708328907.4558055
0.635,1709.8635242818548,1709863524.2818549
0.64,1711.387475418089,1711387475.418089
0.645,1712.900917398547,1712900917.3985472
0.65,1714.4040032691344,1714404003.2691343
0.655,1715.8968826914816,1715896882.6914816
0.66,1717.3797020429404,1717379702.0429404
0.665,1718.8526045128963,1718852604.5128963
0.67,1720.3157301955534,1720315730.1955535
0.675,1721.7692161793527,1721769216.1793528
0.68,1723.213196633162,1723213196.633162
0.685,1724.6478028893853,1724647802.8893852
0.69,1726.0731635241175,1726073163.5241175
0.695,1727.4894044344703,1727489404.4344704
0.7,1728.896648913193,1728896648.913193
0.705,1730.2950177206967,1730295017.7206967
0.71,1731.6846291545914,1731684629.1545916
0.715,1733.0655991168417,1733065599.1168416
0.72,1734.4380411786326,1734438041.1786325
0.725,1735.8020666430452,1735802066.6430452
0.73,1737.1577846056273,1737157784.6056273
0.735,1738.5053020129412,1738505302.0129411
0.74,1739.8447237191783,1739844723.7191782
0.745,1741.176152540905,1741176152.540905
0.75,1742.4996893100224,1742499689.3100224
0.755,1743.8154329250078,1743815432.9250078
0.76,1745.123480400502,1745123480.4005022
0.765,1746.4239269153084,1746423926.9153085
0.77,1747.716865858865,1747716865.858865
0.775,1749.002388876246,1749002388.876246
0.78,1750.2805859117514,1750280585.9117513
0.785,1751.551545251133,1751551545.251133
0.79,1752.8153535625127,1752815353.5625126
0.795,1754.0720959360401,1754072095.9360402
0.8,1755.3218559223328,1755321855.9223328
0.805,1756.5647155697484,1756564715.5697484
0.81,1757.8007554605297,1757800755.4605296
0.815,1759.0300547458603,1759030054.7458603
0.82,1760.252691179877,1760252691.179877
0.825,1761.4687411526677,1761468741.1526678
0.83,1762.6782797222982,1762678279.7222981
0.835,1763.8813806458975,1763881380.6458974
0.84,1765.0781164098375,1765078116.4098375
0.845,1766.268558259038,1766268558.259038
0.85,1767.4527762254245,1767452776.2254245
0.855,1768.6308391555747,1768630839.1555746
0.86,1769.8028147375733,1769802814.7375734
0.865,1770.9687695271086,1770968769.5271087
0.87,1772.1287689728342,1772128768.972834
0.875,1773.2828774410195,1773282877.4410195
0.88,1774.4311582395148,1774431158.2395148
0.885,1775.5736736410522,1775573673.6410522
0.89,1776.7104849059076,1776710484.9059076
0.895,1777.8416523039386,1777841652.3039386
0.9,1778.9672351360257,1778967235.1360257
0.905,1780.0872917549318,1780087291.754932
0.91,1781.2018795856004,1781201879.5856004
0.915,1782.3110551449106,1782311055.1449106
0.92,1783.4148740609062,1783414874.0609062
0.925,1784.5133910915147,1784513391.0915146
0.93,1785.6066601427744,1785606660.1427743
0.935,1786.6947342865844,1786694734.2865844
0.94,1787.77766577799,1787777665.77799
0.945,1788.855506072022,1788855506.0720222
0.95,1789.928305840102,1789928305.840102
0.955,1790.996114986024,1790996114.986024
0.96,1792.0589826615335,1792058982.6615336
0.965,1793.116957281506,1793116957.281506
0.97,1794.170086538745,1794170086.538745
0.975,1795.218417418408,1795218417.4184082
0.98,1796.261996212072,1796261996.2120721
0.985,1797.300868531448,1797300868.5314481
0.99,1798.335079321758,1798335079.321758
0.995,1799.3646728747826,1799364672.8747826
1.0,1800.3896928415872,1800389692.8415873
1.005,1801.4101822449397,1801410182.2449398
1.01,1802.4261834914275,1802426183.4914274
1.015,1803.4377383832812,1803437738.3832812
1.02,1804.4448881299138,1804444888.1299138
1.025,1805.4476733591862,1805447673.3591862
1.03,1806.4461341284034,1806446134.1284034
1.035,1807.440309935051,1807440309.935051
1.04,1808.430239727278,1808430239.727278
1.045,1809.4159619141365,1809415961.9141364
1.05,1810.3975143755788,1810397514.3755789
1.055,1811.374934472226,1811374934.472226
1.06,1812.3482590549095,1812348259.0549095
1.065,1813.3175244739916,1813317524.4739916
