"strain,-","stress,MPa","stress,Pa"
0.0,1110.2547585619475,1110254758.5619476
0.002,1257.2079766501163,1257207976.6501162
0.004,1315.7420873270462,1315742087.3270462
0.006,1353.7552150028507,1353755215.0028508
0.008,1382.182894528402,1382182894.5284019
0.01,1404.9971337633854,1404997133.7633853
0.012,1424.1059374629922,1424105937.4629922
0.014,1440.5778950820654,1440577895.0820653
0.016,1455.0736289237743,1455073628.9237742
0.018,1468.0309061468226,1468030906.1468227
0.02,1479.7551847988846,1479755184.7988846
0.022,1490.4682930110757,1490468293.0110757
0.024,1500.3365462266804,1500336546.2266805
0.026,1509.4879316492695,1509487931.6492696
0.028,1518.023102283938,1518023102.283938
0.03,1526.0226816526952,1526022681.6526952
0.032,1533.552274176149,1533552274.1761491
0.034,1540.6659964984792,1540665996.4984791
0.036,1547.409025489581,1547409025.4895809
0.038,1553.8194748041703,1553819474.8041704
0.04,1559.9298021087068,1559929802.1087067
0.042,1565.7678814026676,1565767881.4026675
0.044,1571.3578319249768,1571357831.9249768
0.046,1576.720667205725,1576720667.205725
0.048,1581.8748092404749,1581874809.240475
0.05,1586.8365001483571,1586836500.1483572
0.052,1591.620134951875,1591620134.951875
0.054,1596.238532983648,1596238532.9836478
0.056,1600.703161047985,1600703161.047985
0.058,1605.0243182970037,1605024318.2970037
0.06,1609.2112904584847,1609211290.4584846
0.062,1613.2724793298066,1613272479.3298066
0.064,1617.2155121602514,1617215512.1602514
0.066,1621.0473345651164,1621047334.5651164
0.068,1624.774289866398,1624774289.866398
0.07,1628.402187177171,1628402187.177171
0.072,1631.9363600973543,1631936360.0973542
0.074,1635.3817175361844,1635381717.5361843
0.076,1638.7427878984206,1638742787.8984206
0.078,1642.0237576499796,1642023757.6499796
0.08,1645.2285051015735,1645228505.1015735
0.082,1648.360630106264,1648360630.1062639
0.084,1651.4234802513056,1651423480.2513056
0.086,1654.4201740305568,1654420174.030557
0.088,1657.353621406684,1657353621.406684
0.09,1660.2265421090167,1660226542.1090167
0.092,1663.041481960514,1663041481.9605138
0.094,1665.8008274837885,1665800827.4837885
0.096,1668.5068189998776,1668506818.9998777
0.098,1671.1615624030537,1671161562.4030538
0.1,1673.767039769453,1673767039.769453
0.102,1676.3251189357416,1676325118.9357417
0.104,1678.8375621658129,1678837562.165813
0.106,1681.306034007999,1681306034.007999
0.108,1683.7321084320743,1683732108.4320743
0.11,1686.1172753240264,1686117275.3240263
0.112,1688.4629464068832,1688462946.4068832
0.114,1690.770460647543,1690770460.647543
0.116,1693.0410892023629,1693041089.2023628
0.118,1695.2760399480453,1695276039.9480453
0.12,1697.4764616389566,1697476461.6389565
0.122,1699.6434477273278,1699643447.7273278
0.124,1701.7780398786963,1701778039.8786962
0.126,1703.8812312113712,1703881231.2113712
0.128,1705.9539692855835,1705953969.2855835
0.13,1707.9971588652315,1707997158.8652315
0.132,1710.0116644727204,1710011664.4727204
0.134,1711.998312755265,1711998312.755265
0.136,1713.9578946791526,1713957894.6791525
0.138,1715.8911675667916,1715891167.5667915
0.14,1717.7988569899069,1717798856.9899068
0.142,1719.6816585309316,1719681658.5309317
0.144,1721.5402394234793,1721540239.4234793
0.146,1723.3752400817505,1723375240.0817504
0.148,1725.1872755277952,1725187275.5277953
0.15,1726.9769367247316,1726976936.7247314
0.152,1728.7447918232742,1728744791.8232741
0.154,1730.491387328272,1730491387.3282719
0.156,1732.217249191344,1732217249.191344
0.158,1733.9228838351837,1733922883.8351836
0.16,1735.6087791145992,1735608779.1145992
0.162,1737.2754052189405,1737275405.2189405
0.164,1738.9232155201585,1738923215.5201585
0.166,1740.5526473703865,1740552647.3703864
0.168,1742.1641228526234,1742164122.8526235
0.17,1743.7580494877886,1743758049.4877887
0.172,1745.33482090117,1745334820.90117
0.174,1746.8948174510358,1746894817.4510357
0.176,1748.4384068219665,1748438406.8219664
0.178,1749.9659445852612,1749965944.5852613
0.18,1751.477774728593,1751477774.7285929
0.182,1752.97423015692,1752974230.15692
0.184,1754.4556331665112,1754455633.1665113
0.186,1755.9222958938014,1755922295.8938015
0.188,1757.3745207406682,1757374520.7406683
0.19,1758.8126007776034,1758812600.7776034
0.192,1760.2368201261509,1760236820.1261508
0.194,1761.6474543218753,1761647454.3218753
0.196,1763.0447706590467,1763044770.6590466
0.198,1764.429028518133,1764429028.518133
0.2,1765.800479677128,1765800479.6771278
0.202,1767.1593686076587,1767159368.6076586
0.204,1768.505932756764,1768505932.756764
