displacement/mm,force/kN,force/N
0.011726345,0.115075794,115.075794
0.011905349,0.221531273,221.531273
0.012012915,0.247879479,247.879479
0.01227314,0.280513157,280.51315700000004
0.012398085,0.317233359,317.233359
0.012610793,0.354859737,354.859737
0.012477358,0.39203429,392.03429
0.012582945,0.429527479,429.52747899999997
0.012555924,0.467566709,467.566709
0.01259724,0.506460336,506.460336
0.012817907,0.546323594,546.323594
0.013196769,0.58622257,586.22257
0.013560905,0.625248652,625.248652
0.013775123,0.66270004,662.7000400000001
0.014003606,0.699533155,699.533155
0.01403792,0.736757541,736.7575410000001
0.014112123,0.773552993,773.552993
0.014151535,0.811016131,811.016131
0.014335246,0.849045431,849.045431
0.014556702,0.886454673,886.4546730000001
0.014783113,0.922595787,922.595787
0.015110498,0.958216739,958.2167390000001
0.015200534,0.991847414,991.847414
0.015365486,1.023618954,1023.618954
0.015437143,1.05306248,1053.0624799999998
0.015559022,1.079849047,1079.849047
0.015714217,1.10352293,1103.52293
0.015774276,1.123482508,1123.4825079999998
0.015688941,1.14008861,1140.08861
0.015909679,1.154128702,1154.128702
0.015895584,1.166636459,1166.636459
0.016003538,1.177893745,1177.893745
0.01609789,1.187852097,1187.852097
0.016179691,1.196654268,1196.654268
0.016102262,1.205153906,1205.153906
0.016017183,1.214253779,1214.2537790000001
0.016072909,1.222235862,1222.235862
0.01593191,1.229691506,1229.691506
0.015910052,1.236432959,1236.432959
0.016007074,1.242318733,1242.318733
0.016209321,1.247581198,1247.581198
0.016094596,1.252913183,1252.913183
0.016350977,1.25762199,1257.62199
0.01606364,1.262001682,1262.0016819999998
0.016018786,1.267600396,1267.600396
0.016278337,1.272671144,1272.6711440000001
0.016256155,1.277086911,1277.086911
0.016162034,1.28130086,1281.30086
0.015961098,1.285550659,1285.550659
0.01663271,1.289384037,1289.384037
0.01654248,1.292961117,1292.9611169999998
0.016331911,1.296376596,1296.376596
0.01643981,1.299870659,1299.870659
0.016375332,1.303383218,1303.383218
0.016465403,1.307116686,1307.116686
0.016528612,1.310656563,1310.656563
0.016509977,1.313725743,1313.725743
0.016376159,1.316816759,1316.816759
0.016456225,1.319865138,1319.865138
0.016532474,1.32270717,1322.70717
0.016424021,1.325151976,1325.1519759999999
0.016196477,1.328735292,1328.7352919999998
0.01608469,1.332708205,1332.7082050000001
0.016005321,1.336220662,1336.220662
0.01593689,1.339614779,1339.614779
0.015927835,1.342788029,1342.788029
0.016033566,1.345481012,1345.481012
0.016338382,1.348278123,1348.278123
0.016321625,1.351303835,1351.303835
0.016271834,1.354489242,1354.489242
0.016294069,1.358208102,1358.208102
0.01627933,1.362315833,1362.315833
0.01674391,1.366190387,1366.190387
0.017085706,1.369809757,1369.809757
0.016457617,1.373581612,1373.581612
0.015647404,1.377867988,1377.867988
0.016244655,1.382444711,1382.444711
0.016150968,1.387090144,1387.090144
0.015667383,1.391949822,1391.949822
0.015875531,1.397157512,1397.157512
0.016380376,1.40207066,1402.0706599999999
0.0159114,1.407197113,1407.197113
0.01610432,1.412633461,1412.633461
0.016091367,1.418001275,1418.0012749999999
0.016305665,1.42348579,1423.48579
0.016232621,1.428910009,1428.910009
0.016029091,1.434150988,1434.150988
0.016205019,1.440038146,1440.038146
0.016362186,1.446849824,1446.8498240000001
0.016425885,1.453825665,1453.825665
0.01626305,1.460545408,1460.545408
0.016194051,1.467558349,1467.558349
0.016245942,1.473964199,1473.964199
0.01611544,1.479999839,1479.999839
0.01620272,1.486397936,1486.3979359999998
